Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Poison Explosion	100			24		24		nec	18	1	44	charged	83	-120	-12											wand	knif	head								0	0	0
of Poison Explosion	100			48		48		nec	18	1	44	charged	83	-40	-6											blun										0	0	0
of Bone Spears	100	1	1	24		24		nec	18	1	44	charged	84	-120	-12											wand	knif	head								0	0	0
of Bone Spears	100	1	1	48		48		nec	18	1	44	charged	84	-40	-6											spea										0	0	0
of Blood Golem Summoning	100			24		24		nec	18	1	44	charged	85	-120	-12											wand	knif	head								0	0	0
of Blood Golem Summoning	100			48		48		nec	18	1	44	charged	85	-40	-6											axe										0	0	0
of Attraction	100	1	1	30		30		nec	24	1	44	charged	86	-120	-10											wand	knif	head								0	0	0
of Attraction	100	1	1	60		60		nec	24	1	44	charged	86	-40	-4											ring	amul	circ								0	0	0
of Decrepification	100			30		30		nec	24	1	44	charged	87	-120	-10											wand	knif	head								0	0	0
of Decrepification	100			60		60		nec	24	1	44	charged	87	-40	-4											shld										0	0	0
of Bone Imprisonment	100			30		30		nec	24	1	44	charged	88	-120	-10											wand	knif	head								0	0	0
of Bone Imprisonment	100			60		60		nec	24	1	44	charged	88	-40	-4											mace	scep									0	0	0
of Iron Golem Creation	100			30		30		nec	24	1	44	charged	90	-120	-10											wand	knif	head								0	0	0
of Iron Golem Creation	100			60		60		nec	24	1	44	charged	90	-40	-4											swor										0	0	0
of Lower Resistance	100	1	1	36		36		nec	30	1	44	charged	91	-120	-6											wand	knif	head								0	0	0
of Lower Resistance	100	1	1	72		72		nec	30	1	44	charged	91	-40	-2											staf										0	0	0
of Poison Novas	100	1	1	36		36		nec	30	1	44	charged	92	-120	-6											wand	knif	head								0	0	0
of Poison Novas	100	1	1	72		72		nec	30	1	44	charged	92	-40	-2											glov										0	0	0
of Bone Spirits	100	1	1	36		36		nec	30	1	44	charged	93	-120	-6											wand	knif	head								0	0	0
of Bone Spirits	100	1	1	72		72		nec	30	1	44	charged	93	-40	-2											amul	circ									0	0	0
of Fire Golem Summoning	100			36		36		nec	30	1	44	charged	94	-120	-6											wand	knif	head								0	0	0
of Fire Golem Summoning	100			72		72		nec	30	1	44	charged	94	-40	-2											hamm										0	0	0
of Revivification	100			36		36		nec	30	1	44	charged	95	-120	-6											wand	knif	head								0	0	0
of Revivification	100			72		72		nec	30	1	44	charged	95	-40	-2											pole										0	0	0
of Sacrifice	100	1	1	7		7		pal	1	1	44	charged	96	-60	-20											scep	ashd									0	0	0
of Sacrifice	100	1	1	14		14		pal	1	1	44	charged	96	-40	-12											mele							scep			0	0	0
of Holy Bolts	100	1	1	12		12		pal	6	1	44	charged	101	-60	-16											scep	ashd									0	0	0
of Holy Bolts	100	1	1	24		24		pal	6	1	44	charged	101	-40	-10											amul	circ									0	0	0
of Zeal	100	1	1	18		18		pal	12	1	44	charged	106	-60	-14											scep	ashd									0	0	0
of Zeal	100	1	1	36		36		pal	12	1	44	charged	106	-40	-8											mele							scep			0	0	0
of Vengeance	100	1	1	24		24		pal	18	1	44	charged	111	-60	-12											scep	ashd									0	0	0
of Vengeance	100	1	1	48		48		pal	18	1	44	charged	111	-40	-6											swor	axe									0	0	0
of Blessed Hammers	100	1	1	24		24		pal	18	1	44	charged	112	-60	-12											scep	ashd									0	0	0
of Blessed Hammers	100	1	1	48		48		pal	18	1	44	charged	112	-40	-6											hamm										0	0	0
of Conversion	100			30		30		pal	24	1	44	charged	116	-60	-10											scep	ashd									0	0	0
of Conversion	100			60		60		pal	24	1	44	charged	116	-40	-4											blun							scep			0	0	0
of Fist of the Heavens	100			36		36		pal	30	1	44	charged	121	-60	-6											scep	ashd									0	0	0
of Fist of the Heavens	100			72		72		pal	30	1	44	charged	121	-40	-2											glov										0	0	0
of Bashing	100	1	1	7		7		bar	1	1	44	charged	126	-120	-20											phlm										0	0	0
of Bashing	100	1	1	14		14		bar	1	1	44	charged	126	-40	-12											mele							staf	wand	orb	0	0	0
of Howling	100			7		7		bar	1	1	44	charged	130	-120	-20											phlm										0	0	0
of Howling	100			14		14		bar	1	1	44	charged	130	-40	-12																					0	0	0
of Potion Finding	100			7		7		bar	1	1	44	charged	131	-120	-20											phlm										0	0	0
of Potion Finding	100			14		14		bar	1	1	44	charged	131	-40	-12																					0	0	0
of Taunting	100			12		12		bar	6	1	44	charged	137	-120	-16											phlm										0	0	0
of Taunting	100			24		24		bar	6	1	44	charged	137	-40	-10																					0	0	0
of Shouting	100			12		12		bar	6	1	44	charged	138	-120	-16											phlm										0	0	0
of Shouting	100			24		24		bar	6	1	44	charged	138	-40	-10																					0	0	0
of Stunning	100	1	1	18		18		bar	12	1	44	charged	139	-120	-14											phlm							staf	wand	orb	0	0	0
of Stunning	100	1	1	36		36		bar	12	1	44	charged	139	-40	-8											mele										0	0	0
of Item Finding	100			18		18		bar	12	1	44	charged	142	-120	-14											phlm										0	0	0
of Item Finding	100			36		36		bar	12	1	44	charged	142	-40	-8																					0	0	0
of Concentration	100	1	1	24		24		bar	18	1	44	charged	144	-120	-12											phlm										0	0	0
of Concentration	100	1	1	48		48		bar	18	1	44	charged	144	-40	-6											mele							staf	wand	orb	0	0	0
of Battle Cry	100			24		24		bar	18	1	44	charged	146	-120	-12											phlm										0	0	0
of Battle Cry	100			48		48		bar	18	1	44	charged	146	-40	-6																					0	0	0
of Battle Orders	100			30		30		bar	24	1	44	charged	149	-120	-10											phlm										0	0	0
of Battle Orders	100			60		60		bar	24	1	44	charged	149	-40	-4																					0	0	0
of Grim Ward	100	1	1	30		30		bar	24	1	44	charged	150	-120	-10											phlm										0	0	0
of Grim Ward	100	1	1	60		60		bar	24	1	44	charged	150	-40	-4											amul										0	0	0
of War Cry	100			36		36		bar	30	1	44	charged	154	-120	-6											phlm										0	0	0
of War Cry	100			72		72		bar	30	1	44	charged	154	-40	-2																					0	0	0
of Battle Command	100			36		36		bar	30	1	44	charged	155	-120	-6											phlm										0	0	0
of Battle Command	100			72		72		bar	30	1	44	charged	155	-40	-2																					0	0	0
of Firestorms	100	1	1	7		7		dru	1	1	44	charged	225	-60	-20											club										0	0	0
of Firestorms	100	1	1	14		14		dru	1	1	44	charged	225	-40	-12											staf										0	0	0
of Molten Boulders	100			12		12		dru	6	1	44	charged	229	-60	-16											club										0	0	0
of Molten Boulders	100			24		24		dru	6	1	44	charged	229	-40	-10											mace										0	0	0
of Eruption	100	1	1	18		18		dru	12	1	44	charged	234	-60	-14											club										0	0	0
of Eruption	100	1	1	36		36		dru	12	1	44	charged	234	-40	-8											staf										0	0	0
of Cyclone Armor	100			18		18		dru	12	1	44	charged	235	-60	-14											club										0	0	0
of Cyclone Armor	100			36		36		dru	12	1	44	charged	235	-40	-8											tors										0	0	0
of Twister	100	1	1	24		24		dru	18	1	44	charged	240	-60	-12											club										0	0	0
of Twister	100	1	1	48		48		dru	18	1	44	charged	240	-40	-6											amul	circ									0	0	0
of Volcano	100	1	1	30		30		dru	24	1	44	charged	244	-60	-12											club										0	0	0
of Volcano	100	1	1	60		60		dru	24	1	44	charged	244	-40	-6											hamm										0	0	0
of Tornado	100	1	1	30		30		dru	24	1	44	charged	245	-60	-10											club										0	0	0
of Tornado	100	1	1	60		60		dru	24	1	44	charged	245	-40	-4											amul	circ									0	0	0
of Armageddon	100			36		36		dru	30	1	44	charged	249	-60	-6											club										0	0	0
of Armageddon	100			72		72		dru	30	1	44	charged	249	-40	-2											staf										0	0	0
of Hurricane	100			36		36		dru	30	1	44	charged	250	-60	-6											club										0	0	0
of Hurricane	100			72		72		dru	30	1	44	charged	250	-40	-2											amul	circ									0	0	0
of Damage Amplification	100	1	1	3						1	44	hit-skill	66	10	2											weap							orb			0	0	0
of the Icicle	100	1	1	37		29				2	10	cold-min		4	6	cold-max		12	20	cold-len		50	50	1	dblu	jewl										0	0	0
of the Glacier	100	1		58		50				2	10	cold-min		8	10	cold-max		22	30	cold-len		50	50	1	dblu	jewl										0	0	0
of Fire	100	1	1	36		28				2	12	fire-min		8	20	fire-max		22	60					1	dred	jewl										0	0	0
of Burning	100	1	1	57		49				2	12	fire-min		22	50	fire-max		62	100					1	dred	jewl										0	0	0
of Lightning	100	1	1	36		28				2	13	ltng-min		2	2	ltng-max		42	120					1	dyel	jewl										0	0	0
of Thunder	100	1	1	57		49				2	13	ltng-min		2	2	ltng-max		122	200					1	dyel	jewl										0	0	0
of Daring	100	1	1	19		14				3	17	dex		8	12											jewl										0	0	0
of Daring	100	1	1	36		28				3	17	dex		14	18											jewl										0	0	0
of Knowledge	100	1	1	24		18				3	23	enr		8	12											jewl										0	0	0
of Knowledge	100	1	1	41		33				3	23	enr		14	18											jewl										0	0	0
of Virility	100	1	1	33		25				4	31	str		10	12											jewl										0	0	0
of Virility	100	1	1	50		42				4	31	str		14	18											jewl										0	0	0
of Readiness	1	1	1	20		15				2	7	swing1		20	20											glov										0	0	0
of Craftsmanship	100	1	1	1		1				4	14	dmg-max		2	2									1	dgrn	lcha	marb									0	0	0
of Quality	100	1	1	41		33				4	14	dmg-max		4	4									1	dgrn	lcha	marb									0	0	0
of Maiming	100	1		71		63				4	14	dmg-max		6	8									1	dgrn	lcha	marb									0	0	0
of Craftsmanship	100	1	1	26		19				4	14	dmg-max		2	2									1	dgrn	mcha										0	0	0
of Quality	100	1		56		48				4	14	dmg-max		4	4									1	dgrn	mcha										0	0	0
of Craftsmanship	100	1	1	85		77				4	14	dmg-max		2	2									1	dgrn	scha										0	0	0
of Blight	100	1	1	1		1				2	16	dmg-pois	75	42	42									1	dgrn	lcha	marb									0	0	0
of Venom	100	1	1	6		4				1	16	dmg-pois	100	78	78									1	dgrn	lcha	marb									0	0	0
of Pestilence	100	1	1	14		10				1	16	dmg-pois	125	104	104									1	dgrn	lcha	marb									0	0	0
of Anthrax	100	1		21		15				1	16	dmg-pois	150	172	172									1	dgrn	lcha	marb									0	0	0
of Blight	100	1	1	5		3				2	16	dmg-pois	75	42	42									1	dgrn	mcha										0	0	0
of Venom	100	1	1	13		9				1	16	dmg-pois	100	78	78									1	dgrn	mcha										0	0	0
of Pestilence	100	1	1	23		17				1	16	dmg-pois	125	104	104									1	dgrn	mcha										0	0	0
of Anthrax	100	1		33		25				1	16	dmg-pois	150	172	172									1	dgrn	mcha										0	0	0
of Blight	100	1	1	9		6				2	16	dmg-pois	75	42	42									1	dgrn	scha										0	0	0
of Venom	100	1	1	20		15				1	16	dmg-pois	100	78	78									1	dgrn	scha										0	0	0
of Pestilence	100	1	1	32		24				1	16	dmg-pois	125	104	104									1	dgrn	scha										0	0	0
of Anthrax	100	1		44		36				1	16	dmg-pois	150	172	172									1	dgrn	scha										0	0	0
of Frost	100	1	1	5		3				2	10	cold-min		2	2	cold-max		4	4	cold-len		25	25	1	dblu	lcha	marb									0	0	0
of the Icicle	100	1	1	8		6				1	10	cold-min		4	4	cold-max		6	8	cold-len		25	25	1	dblu	lcha	marb									0	0	0
of the Glacier	100	1	1	15		11				1	10	cold-min		6	6	cold-max		10	14	cold-len		25	25	1	dblu	lcha	marb									0	0	0
of Winter	100	1		23		17				1	10	cold-min		8	12	cold-max		16	22	cold-len		25	25	1	dblu	lcha	marb									0	0	0
of Frost	100	1	1	9		6				2	10	cold-min		2	2	cold-max		4	6	cold-len		25	25	1	dblu	mcha										0	0	0
of the Icicle	100	1	1	15		11				1	10	cold-min		4	4	cold-max		8	10	cold-len		25	25	1	dblu	mcha										0	0	0
of the Glacier	100	1	1	25		18				1	10	cold-min		6	6	cold-max		12	16	cold-len		25	25	1	dblu	mcha										0	0	0
of Winter	100	1		35		27				1	10	cold-min		8	12	cold-max		18	24	cold-len		25	25	1	dblu	mcha										0	0	0
of Frost	100	1	1	14		10				2	10	cold-min		2	2	cold-max		4	4	cold-len		25	25	1	dblu	scha										0	0	0
of the Icicle	100	1	1	21		15				1	10	cold-min		4	4	cold-max		6	8	cold-len		25	25	1	dblu	scha										0	0	0
of the Glacier	100	1	1	33		25				1	10	cold-min		6	6	cold-max		10	12	cold-len		25	25	1	dblu	scha										0	0	0
of Winter	100	1		46		38				1	10	cold-min		8	10	cold-max		14	18	cold-len		25	25	1	dblu	scha										0	0	0
of Flame	100	1	1	3		2				2	12	fire-min		2	2	fire-max		4	4					1	dred	lcha	marb									0	0	0
of Fire	100	1	1	8		6				1	12	fire-min		2	4	fire-max		6	6					1	dred	lcha	marb									0	0	0
of Burning	100	1	1	14		10				1	12	fire-min		4	6	fire-max		8	14					1	dred	lcha	marb									0	0	0
of Incineration	100	1		22		16				1	12	fire-min		8	14	fire-max		16	28					1	dred	lcha	marb									0	0	0
of Flame	100	1	1	7		5				2	12	fire-min		2	2	fire-max		4	4					1	dred	mcha										0	0	0
of Fire	100	1	1	14		10				1	12	fire-min		4	4	fire-max		6	10					1	dred	mcha										0	0	0
of Burning	100	1	1	24		18				1	12	fire-min		6	10	fire-max		12	22					1	dred	mcha										0	0	0
of Incineration	100	1		34		26				1	12	fire-min		12	20	fire-max		24	34					1	dred	mcha										0	0	0
of Flame	100	1	1	11		8				2	12	fire-min		2	2	fire-max		4	4					1	dred	scha										0	0	0
of Fire	100	1	1	20		15				1	12	fire-min		4	4	fire-max		6	8					1	dred	scha										0	0	0
of Burning	100	1	1	32		24				1	12	fire-min		6	8	fire-max		10	16					1	dred	scha										0	0	0
of Incineration	100	1		45		37				1	12	fire-min		10	14	fire-max		18	26					1	dred	scha										0	0	0
of Shock	100	1	1	4		3				2	13	ltng-min		2	2	ltng-max		4	6					1	dyel	lcha	marb									0	0	0
of Lightning	100	1	1	7		5				1	13	ltng-min		2	2	ltng-max		8	14					1	dyel	lcha	marb									0	0	0
of Thunder	100	1	1	15		11				1	13	ltng-min		2	2	ltng-max		16	42					1	dyel	lcha	marb									0	0	0
of Storms	100	1		22		16				1	13	ltng-min		2	2	ltng-max		44	66					1	dyel	lcha	marb									0	0	0
of Shock	100	1	1	7		5				2	13	ltng-min		2	2	ltng-max		6	10					1	dyel	mcha										0	0	0
of Lightning	100	1	1	14		10				1	13	ltng-min		2	2	ltng-max		12	26					1	dyel	mcha										0	0	0
of Thunder	100	1	1	24		18				1	13	ltng-min		2	2	ltng-max		28	50					1	dyel	mcha										0	0	0
of Storms	100	1		34		26				1	13	ltng-min		2	2	ltng-max		52	76					1	dyel	mcha										0	0	0
of Shock	100	1	1	12		9				2	13	ltng-min		2	2	ltng-max		6	12					1	dyel	scha										0	0	0
of Lightning	100	1	1	21		15				1	13	ltng-min		2	2	ltng-max		14	20					1	dyel	scha										0	0	0
of Thunder	100	1	1	33		25				1	13	ltng-min		2	2	ltng-max		22	36					1	dyel	scha										0	0	0
of Storms	100	1		45		37				1	13	ltng-min		2	2	ltng-max		38	56					1	dyel	scha										0	0	0
of Dexterity	1	1	1	1	12	1				4	17	dex		2	2											boot	glov									0	0	0
of Dexterity	1	1	1	1	5	1				4	17	dex		2	2											ring										0	0	0
of Strength	1	1	1	1	11	1				4	31	str		2	2											glov										0	0	0
of Strength	1	1	1	1	4	1				4	31	str		2	2											ring										0	0	0
of Thorns	1	1	1	1	13	1				4	6	thorns		2	2											tors	belt	shld								0	0	0
of Frost	1	1	1	1	3	1				4	10	dmg-cold	25	2	2											weap							staf	wand	orb	0	0	0
of Flame	1	1	1	1	3	1				4	12	dmg-fire		2	4											weap							staf	wand	orb	0	0	0
of Blight	1	1	1	1	4	1				4	16	dmg-pois	50	16	16											weap							scep	staf	orb	0	0	0
of Shock	1	1	1	1	3	1				4	13	dmg-ltng		2	6											weap							staf	wand	orb	0	0	0
of Regeneration	1	1	1	1	9	1				3	19	regen		4	4											amul	circ									0	0	0
of Energy	1	1	1	1	4	1				4	23	enr		2	2											amul	orb	circ	wand	staf	helm	ring				0	0	0
of Light	1	1	1	1	5	1				4	25	light		2	2	att		20	20							ring	amul									0	0	0
of the Leech	100	1	1	24		20				2	27	lifesteal		4	6											amul										0	0	0
of the Locust	100	1	1	57		45				2	27	lifesteal		8	10											amul										0	0	0
of the Lamprey	100	1	1	85		73				2	27	lifesteal		12	12									1	cred	amul										0	0	0
of the Bat	1	1	1	25		21				2	28	manasteal		4	6											ring										0	0	0
of the Wraith	1	1	1	58		46				2	28	manasteal		8	10											ring										0	0	0
of the Vampire	100	1	1	86		74				2	28	manasteal		12	12									1	cred	ring										0	0	0
of Health	0	1	1	14		10					1	red-dmg		4	4									1	dblu	tors	helm	shld	ring	amul						0	0	0
of Protection	0	1	1	36		26					1	red-dmg		8	8									1	dblu	ring	amul									0	0	0
of Absorption	0	1	1	52		38					1	red-dmg		12	12									1	dblu	amul										0	0	0
of Life	0	1	1	70		52					1	red-dmg		16	16									1	dblu	amul										0	0	0
		1																																		0	0	0
of Warding	0	1	1	14		10					2	red-mag		4	4											tors	helm	shld	ring	amul						0	0	0
of the Sentinel	0	1	1	36		26					2	red-mag		8	8											ring	amul									0	0	0
of Guarding	0	1	1	52		38					2	red-mag		12	12											amul										0	0	0
of Negation	0	1	1	70		52					2	red-mag		16	16											amul										0	0	0
																																				0	0	0
of Piercing	0	1	1	50		36					3	ignore-ac		4	4											rod										0	0	0
of Bashing	0	1	1	32		24					4	dmg-ac		-100	-160											mele							wand	staf		0	0	0
of Puncturing	0	1	1	12		8					4	dmg-ac		-40	-80											mele							wand	staf		0	0	0
of Thorns	0	1	1	28		20					5	thorns		4	12									1	oran	tors	helm	shld	belt							0	0	0
of Spikes	0	1	1	42		30					5	thorns		8	24									1	oran	tors	helm	shld	belt							0	0	0
of Readiness	0	1	1	2		2					6	swing1		40	40									1	dyel	weap	glov									0	0	0
of Alacrity	0	1	1	16		12					6	swing2		80	80									1	dyel	weap	bowq	xboq								0	0	0
of Swiftness	0	1	1	38		28					6	swing2		120	120									1	dyel	mele							wand	staf		0	0	0
of Quickness	0	1	1	50		36					6	swing3		160	160									1	dyel	mele							wand	staf		0	0	0
of Blocking	0	1	1	2		2					7	block		40	40											shld										0	0	0
of Deflecting	0	1	1	22		16					7	block		80	80											shld										0	0	0
of the Apprentice	0	1	1	10		6					8	cast1		40	40											rod	ring	amul								0	0	0
of the Magus	0	1	1	34		24					8	cast3		80	80											rod										0	0	0
of Frost	0	1	1	8		6					9	cold-min		4	4	cold-max		4	16	cold-len		250	250	1	dblu	weap	bowq	xboq								0	0	0
of the Glacier	0	1	1	36		26					9	cold-min		16	16	cold-max		16	48	cold-len		300	300	1	dblu	mele										0	0	0
of Frost	0	1	1	110		82					9	cold-min		4	4	cold-max		4	16	cold-len		250	250	1	dblu	belt	amul									0	0	0
of Warmth	0	1	1	20		14					10	half-freeze		4	4									1	dblu	shld	boot	glov	ring	amul						0	0	0
of Flame	0	1	1	8		6					11	fire-min		4	4	fire-max		8	24					1	dred	weap	bowq	xboq								0	0	0
of Fire	0	1	1	30		22					11	fire-min		8	8	fire-max		24	44					1	dred	weap	bowq	xboq								0	0	0
of Burning	0	1	1	50		36					11	fire-min		40	40	fire-max		40	80					1	dred	weap	bowq	xboq								0	0	0
of Flame	0	1	1	80		60					11	fire-min		4	4	fire-max		8	24					1	dred	glov	ring	amul								0	0	0
of Shock	0	1	1	8		6					12	ltng-min		4	4	ltng-max		32	32					1	dyel	weap	bowq	xboq								0	0	0
of Lightning	0	1	1	30		22					12	ltng-min		4	4	ltng-max		64	64					1	dyel	weap	bowq	xboq								0	0	0
of Thunder	0	1	1	50		36					12	ltng-min		4	4	ltng-max		128	128					1	dyel	weap	bowq	xboq								0	0	0
of Shock	0	1	1	100		74					12	ltng-min		4	4	ltng-max		32	32					1	dyel	boot	ring	amul	weap				miss	rod		0	0	0
of Craftsmanship	0	1	1	2		2					13	dmg-max		4	8									1	blac	weap	ring	amul								0	0	0
of Quality	0	1	1	8		6					13	dmg-max		8	8									1	blac	weap	bowq	xboq								0	0	0
of Maiming	0	1	1	14		10					13	dmg-max		12	16									1	blac	weap	bowq	xboq								0	0	0
of Slaying	0	1	1	22		16					13	dmg-max		20	28									1	blac	weap	bowq	xboq								0	0	0
of Gore	0	1	1	28		20					13	dmg-max		32	40									1	blac	weap	bowq	xboq								0	0	0
of Carnage	0	1	1	38		28					13	dmg-max		44	56									1	blac	weap	bowq	xboq					wand	staf		0	0	0
of Slaughter	0	1	1	50		36					13	dmg-max		60	80									1	blac	weap	bowq	xboq					wand	staf		0	0	0
of Maiming	0	1	1	84		62					13	dmg-max		12	16									1	blac	shld	ring	amul								0	0	0
of Worth	0	1	1	4		2					14	dmg-min		4	4									1	blac	weap	bowq	xboq					rod			0	0	0
of Measure	0	1	1	12		8					14	dmg-min		8	8									1	blac	weap	bowq	xboq								0	0	0
of Excellence	0	1	1	24		18					14	dmg-min		12	12									1	blac	weap	ring	amul								0	0	0
of Performance	0	1	1	36		26					14	dmg-min		16	20									1	blac	weap	bowq	xboq								0	0	0
of Measure	0	1	1	74		54					14	dmg-min		8	8									1	blac	tors	helm	ring	amul							0	0	0
of Blight	0	1	1	10		6					15	pois-min		32	32	pois-max		96	96	pois-len		150	150	1	dgrn	weap	bowq	xboq					scep			0	0	0
of Venom	0	1	1	30		22					15	pois-min		64	64	pois-max		192	192	pois-len		150	150	1	dgrn	weap	bowq	xboq					scep			0	0	0
of Pestilence	0	1	1	50		36					15	pois-min		128	128	pois-max		288	288	pois-len		200	200	1	dgrn	weap	bowq	xboq					scep			0	0	0
of Blight	0	1	1	90		66					15	pois-min		32	32	pois-max		96	96	pois-len		150	150	1	dgrn	ring	amul									0	0	0
of Dexterity	0	1	1	8		6					16	dex		4	4											ring	amul									0	0	0
of Dexterity	0	1	1	10		6					16	dex		4	12											scep	miss	boot	glov	ring	amul					0	0	0
of Skill	0	1	1	20		14					16	dex		16	24											scep	miss	boot	glov	ring	amul					0	0	0
of Skill	0	1	1	90		66					16	dex		16	24											armo							boot	glov		0	0	0
of Accuracy	0	1	1	36		26					16	dex		28	40											scep	miss	boot	glov	ring	amul					0	0	0
of Precision	0	1	1	44		32					16	dex		44	60											scep	miss	amul								0	0	0
of Precision	0	1	1	120		90					16	dex		44	60											armo	ring									0	0	0
of Perfection	0	1	1	60		44					16	dex		64	80									1	dgld	miss	glov	amul								0	0	0
of Balance	0	1	1	10		6					17	balance1		40	40											armo							glov			0	0	0
of Stability	0	1	1	18		12					17	balance3		80	80									1	dyel	armo							glov			0	0	0
																																				0	0	0
of Regeneration	0	1	1	20		14					19	regen		12	12									1	cred	scep	belt	ring	amul							0	0	0
of Regeneration	0	1	1	80		60					19	regen		12	12									1	cred	shld	glov									0	0	0
of Regeneration	0	1	1	140		104					19	regen		12	12									1	cred	tors	helm	weap	boot				scep			0	0	0
of Regrowth	0	1	1	34		24					19	regen		20	20									1	cred	scep	amul									0	0	0
of Regrowth	0	1	1	110		82					19	regen		20	20									1	cred	belt	ring									0	0	0
of Vileness	0	1	1	18		12					20	noheal		4	4									1	cred	mele							scep			0	0	0
																																				0	0	0
of Greed	0	1	1	4		2					22	gold%		160	240									1	lgld	ring	amul									0	0	0
of Wealth	0	1	1	34		24					22	gold%		320	480									1	lgld	boot	glov	belt	amul							0	0	0
of Chance	0	1	1	24		18					23	mag%		40	76									1	lgld	ring	amul									0	0	0
of Fortune	0	1	1	32		24					23	mag%		80	140									1	lgld	boot	glov	amul								0	0	0
of Energy	0	1	1	8		6					24	mana		4	4									1	dblu	ring	amul									0	0	0
of Energy	0	1	1	10		6					24	mana		4	20									1	dblu	rod	ring	amul								0	0	0
of the Mind	0	1	1	20		14					24	mana		24	40									1	dblu	rod	ring	amul								0	0	0
of Brilliance	0	1	1	36		26					24	mana		44	60									1	dblu	rod	ring	amul								0	0	0
of Sorcery	0	1	1	44		32					24	mana		64	80									1	dgld	rod	amul									0	0	0
of Wizardry	0	1	1	60		44					24	mana		84	120									1	dgld	rod	ring	amul								0	0	0
of the Bear	0	1	1	16		12					25	knock		4	4											mele										0	0	0
of Light	0	1	1	12		8					26	light		4	4									1	dyel	armo	rod	miss	ring	amul						0	0	0
of Radiance	0	1	1	30		22					26	light		12	12									1	dyel	rod	miss	ring	amul							0	0	0
of the Sun	0	1	1	34		24					26	light		20	20									1	dyel	rod	miss	glov	ring	amul						0	0	0
of Life	0	1	1	46		34					27	hp		20	20									1	cred	tors	helm	shld	belt	amul						0	0	0
of the Jackal	0	1	1	6		4					27	hp		4	20									1	cred	armo	rod	ring	amul							0	0	0
of the Fox	0	1	1	12		8					27	hp		20	40									1	cred	armo	rod	ring	amul							0	0	0
of the Wolf	0	1	1	28		20					27	hp		44	80									1	cred	armo	rod	ring	amul							0	0	0
of the Wolf	0	1	1	90		66					27	hp		44	80									1	cred	weap	bowq	xboq					rod			0	0	0
of the Tiger	0	1	1	40		30					27	hp		84	120									1	cred	armo	ring	amul								0	0	0
of the Mammoth	0	1	1	48		36					27	hp		124	160									1	cred	tors	helm	shld	ring	amul						0	0	0
of the Mammoth	0	1	1	120		90					27	hp		124	160									1	cred	mele	glov	belt					rod			0	0	0
of the Colosuss	0	1	1	60		44					27	hp		164	240									1	cred	tors	helm	shld	belt	amul						0	0	0
of the Leech	0	1	1	12		8					28	lifesteal		16	28											weap	ring	amul	bowq	xboq						0	0	0
of the Locust	0	1	1	40		30					28	lifesteal		32	40									1	cred	mele										0	0	0
of the Bat	0	1	1	12		8					29	manasteal		16	32											weap	ring	amul	bowq	xboq						0	0	0
of the Vampire	0	1	1	40		30					29	manasteal		36	48									1	cblu	mele										0	0	0
of Defiance	0	1	1	50		36					30	res-pois-len		300	300									1	dred	tors	helm	shld	amul							0	0	0
of Amelioration	0	1	1	36		26					30	res-pois-len		200	200											tors	helm	shld	amul							0	0	0
of Remedy	0	1	1	14		10					30	res-pois-len		100	100											armo	ring	amul								0	0	0
																																				0	0	0
of Simplicity	0	1	1	50		36					32	ease		-160	-160											tors	helm	weap	shld				rod			0	0	0
of Ease	0	1	1	30		22					32	ease		-80	-80											tors	helm	weap	shld				rod			0	0	0
																																				0	0	0
of Strength	0	1	1	10		6					34	str		4	12									1	dgld	belt	ring	amul								0	0	0
of Might	0	1	1	20		14					34	str		16	24									1	dgld	mele	shld	ring	amul				wand	staf		0	0	0
of the Ox	0	1	1	36		26					34	str		28	40									1	dgld	mele	belt	ring	amul				wand	staf		0	0	0
of the Ox	0	1	1	94		70					34	str		28	40									1	dgld	shld	boot	glov								0	0	0
of the Giant	0	1	1	44		32					34	str		44	60									1	dgld	mele	belt	amul					wand	staf		0	0	0
of the Giant	0	1	1	124		92					34	str		44	60									1	dgld	boot	glov	ring	shld							0	0	0
of the Titan	0	1	1	60		44					34	str		64	80									1	dgld	boot	belt	amul								0	0	0
of Pacing	0	1	1	4		2					35	move1		40	40											boot										0	0	0
of Haste	0	1	1	24		18					35	move2		80	80											boot										0	0	0
of Speed	0	1	1	44		32					35	move3		120	120											boot										0	0	0
Expansion																																						
of Health	1	1	1	14		10				4	1	red-dmg		4	4									1	dblu	tors	shld	ring	amul	circ						0	0	0
of Protection	1	1	1	36		26				4	1	red-dmg		8	8									1	dblu	ring	amul	circ								0	0	0
of Absorption	1	1	1	52		38				4	1	red-dmg		12	12									1	dblu	amul	circ									0	0	0
of Life	1	1	1	70		52				4	1	red-dmg		16	16									1	dblu	amul	circ									0	0	0
of Life Everlasting	100	1		90		74				4	1	red-dmg		40	100									1	dblu	amul	circ									0	0	0
of Protection	1	1	1	48		36				4	1	red-dmg		8	8									1	dblu	tors	shld	circ								0	0	0
of Absorption	1	1	1	64		48				4	1	red-dmg		12	12									1	dblu	tors	shld	circ								0	0	0
