Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Act 2 (H) Miss B	9	170	1					50	gld	36	Act 2 (H) Equip B	26	Act 1 (H) Junk	36	Act 2 (H) Good	2	Act 2 (H) Bow B	6	Ammo	3												0
Act 2 (H) Miss C	9	173	1					50	gld	36	Act 2 (H) Equip B	26	Act 1 (H) Junk	36	Act 2 (H) Good	2	Act 2 (H) Bow B	6	Ammo	3												0
Act 3 (H) Miss A	9	178	1					50	gld	36	Act 3 (H) Equip A	26	Act 1 (H) Junk	36	Act 3 (H) Good	2	Act 3 (H) Bow A	6	Ammo	3												0
Act 3 (H) Miss B	9	180	1					50	gld	36	Act 3 (H) Equip B	26	Act 1 (H) Junk	36	Act 3 (H) Good	2	Act 3 (H) Bow B	6	Ammo	3												0
Act 3 (H) Miss C	9	185	1					50	gld	36	Act 3 (H) Equip B	26	Act 1 (H) Junk	36	Act 3 (H) Good	2	Act 3 (H) Bow B	6	Ammo	3												0
Act 4 (H) Miss A	9	187	1					50	gld	36	Act 4 (H) Equip A	26	Act 1 (H) Junk	36	Act 4 (H) Good	2	Act 4 (H) Bow A	6	Ammo	3												0
Act 4 (H) Miss B	9	192	1					50	gld	36	Act 4 (H) Equip B	26	Act 1 (H) Junk	36	Act 4 (H) Good	2	Act 4 (H) Bow B	6	Ammo	3												0
Act 5 (H) Miss A	9	194	1					50	gld	36	Act 5 (H) Equip A	26	Act 1 (H) Junk	36	Act 5 (H) Good	2	Act 5 (H) Bow A	6	Ammo	3												0
Act 5 (H) Miss B	9	199	1					50	gld	36	Act 5 (H) Equip B	26	Act 1 (H) Junk	36	Act 5 (H) Good	2	Act 5 (H) Bow B	6	Ammo	3												0
Act 5 (H) Miss C	9	204	1					50	gld	36	Act 5 (H) Equip C	26	Act 1 (H) Junk	36	Act 5 (H) Good	2	Act 5 (H) Bow B	6	Ammo	3												0
Act 1 Wraith A	10	0	1					75	Act 1 Good	8	Act 1 Magic A	50																				0
Act 1 Wraith B	10	12	1					75	Act 1 Good	8	Act 1 Magic B	50																				0
Act 1 Wraith C	10	22	1					75	Act 1 Good	8	Act 1 Magic C	50																				0
Act 2 Wraith A	10	29	1					75	Act 2 Good	8	Act 2 Magic A	50																				0
Act 2 Wraith B	10	36	1					75	Act 2 Good	8	Act 2 Magic B	50																				0
Act 2 Wraith C	10	43	1					75	Act 3 Good	8	Act 2 Magic C	50																				0
Act 3 Wraith A	10	48	1					75	Act 3 Good	8	Act 3 Magic A	50																				0
Act 3 Wraith B	10	53	1					75	Act 3 Good	8	Act 3 Magic B	50																				0
Act 3 Wraith C	10	58	1					75	Act 3 Good	8	Act 3 Magic C	50																				0
Act 4 Wraith A	10	62	1					75	Act 4 Good	8	Act 4 Magic A	50																				0
Act 4 Wraith B	10	70	1					75	Act 4 Good	8	Act 4 Magic B	50																				0
Act 5 Wraith A	10	77	1					75	Act 5 Good	8	Act 5 Magic A	50																				0
Act 5 Wraith B	10	82	1					75	Act 5 Good	8	Act 5 Magic B	50																				0
Act 5 Wraith C	10	86	1					75	Act 5 Good	8	Act 5 Magic C	50																				0
Act 1 (N) Wraith A	10	91	1					75	Act 1 (N) Good	8	Act 1 (N) Magic A	50																				0
Act 1 (N) Wraith B	10	96	1					75	Act 1 (N) Good	8	Act 1 (N) Magic B	50																				0
Act 1 (N) Wraith C	10	98	1					75	Act 1 (N) Good	8	Act 1 (N) Magic B	50																				0
Act 2 (N) Wraith A	10	101	1					75	Act 2 (N) Good	8	Act 2 (N) Magic A	50																				0
Act 2 (N) Wraith B	10	106	1					75	Act 2 (N) Good	8	Act 2 (N) Magic B	50																				0
Act 2 (N) Wraith C	10	108	1					75	Act 2 (N) Good	8	Act 2 (N) Magic B	50																				0
Act 3 (N) Wraith A	10	110	1					75	Act 3 (N) Good	8	Act 3 (N) Magic A	50																				0
Act 3 (N) Wraith B	10	115	1					75	Act 3 (N) Good	8	Act 3 (N) Magic B	50																				0
Act 3 (N) Wraith C	10	120	1					75	Act 3 (N) Good	8	Act 3 (N) Magic B	50																				0
Act 4 (N) Wraith A	10	122	1					75	Act 4 (N) Good	8	Act 4 (N) Magic A	50																				0
Act 4 (N) Wraith B	10	130	1					75	Act 4 (N) Good	8	Act 4 (N) Magic B	50																				0
Act 5 (N) Wraith A	10	137	1					75	Act 5 (N) Good	8	Act 5 (N) Magic A	50																				0
Act 5 (N) Wraith B	10	144	1					75	Act 5 (N) Good	8	Act 5 (N) Magic B	50																				0
Act 5 (N) Wraith C	10	149	1					75	Act 5 (N) Good	8	Act 5 (N) Magic C	50																				0
Act 1 (H) Wraith A	10	151	1					75	Act 1 (H) Good	8	Act 1 (H) Magic A	50																				0
Act 1 (H) Wraith B	10	158	1					75	Act 1 (H) Good	8	Act 1 (H) Magic B	50																				0
Act 1 (H) Wraith C	10	163	1					75	Act 1 (H) Good	8	Act 1 (H) Magic B	50																				0
Act 2 (H) Wraith A	10	166	1					75	Act 2 (H) Good	8	Act 2 (H) Magic A	50																				0
Act 2 (H) Wraith B	10	170	1					75	Act 2 (H) Good	8	Act 2 (H) Magic B	50																				0
Act 2 (H) Wraith C	10	173	1					75	Act 2 (H) Good	8	Act 2 (H) Magic B	50																				0
Act 3 (H) Wraith A	10	178	1					75	Act 3 (H) Good	8	Act 3 (H) Magic A	50																				0
Act 3 (H) Wraith B	10	180	1					75	Act 3 (H) Good	8	Act 3 (H) Magic B	50																				0
Act 3 (H) Wraith C	10	185	1					75	Act 3 (H) Good	8	Act 3 (H) Magic B	50																				0
Act 4 (H) Wraith A	10	187	1					75	Act 4 (H) Good	8	Act 4 (H) Magic A	50																				0
Act 4 (H) Wraith B	10	192	1					75	Act 4 (H) Good	8	Act 4 (H) Magic B	50																				0
Act 5 (H) Wraith A	10	194	1					75	Act 5 (H) Good	8	Act 5 (H) Magic A	50																				0
Act 5 (H) Wraith B	10	199	1					75	Act 5 (H) Good	8	Act 5 (H) Magic B	50																				0
Act 5 (H) Wraith C	10	204	1					75	Act 5 (H) Good	8	Act 5 (H) Magic C	50																				0
Act 1 Citem A	11	0	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 1 Equip A	74	Act 1 Good	6																		0
Act 1 Citem B	11	12	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 1 Equip B	74	Act 1 Good	6																		0
Act 1 Citem C	11	22	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 1 Equip C	74	Act 1 Good	6																		0
Act 2 Citem A	11	29	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 2 Equip A	74	Act 2 Good	6																		0
Act 2 Citem B	11	36	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 2 Equip B	74	Act 2 Good	6																		0
Act 2 Citem C	11	43	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 2 Equip C	74	Act 3 Good	6																		0
Act 3 Citem A	11	48	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 3 Equip A	74	Act 3 Good	6																		0
Act 3 Citem B	11	53	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 3 Equip B	74	Act 3 Good	6																		0
Act 3 Citem C	11	58	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 3 Equip C	74	Act 3 Good	6																		0
Act 4 Citem A	11	62	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 4 Equip A	74	Act 4 Good	6																		0
Act 4 Citem B	11	70	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 4 Equip B	74	Act 4 Good	6																		0
Act 5 Citem A	11	77	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 5 Equip A	74	Act 5 Good	6																		0
Act 5 Citem B	11	82	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 5 Equip B	74	Act 5 Good	6																		0
Act 5 Citem C	11	86	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 5 Equip C	74	Act 5 Good	6																		0
Act 1 (N) Citem A	11	91	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 1 (N) Equip A	74	Act 1 (N) Good	6																		0
Act 1 (N) Citem B	11	96	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 1 (N) Equip B	74	Act 1 (N) Good	6																		0
Act 1 (N) Citem C	11	98	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 1 (N) Equip B	74	Act 1 (N) Good	6																		0
Act 2 (N) Citem A	11	101	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 2 (N) Equip A	74	Act 2 (N) Good	6																		0
Act 2 (N) Citem B	11	106	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 2 (N) Equip B	74	Act 2 (N) Good	6																		0
Act 2 (N) Citem C	11	108	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 2 (N) Equip B	74	Act 2 (N) Good	6																		0
Act 3 (N) Citem A	11	110	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 3 (N) Equip A	74	Act 3 (N) Good	6																		0
Act 3 (N) Citem B	11	115	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 3 (N) Equip B	74	Act 3 (N) Good	6																		0
Act 3 (N) Citem C	11	120	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 3 (N) Equip B	74	Act 3 (N) Good	6																		0
Act 4 (N) Citem A	11	122	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 4 (N) Equip A	74	Act 4 (N) Good	6																		0
Act 4 (N) Citem B	11	130	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 4 (N) Equip B	74	Act 4 (N) Good	6																		0
Act 5 (N) Citem A	11	137	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 5 (N) Equip A	74	Act 5 (N) Good	6																		0
Act 5 (N) Citem B	11	144	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 5 (N) Equip B	74	Act 5 (N) Good	6																		0
Act 5 (N) Citem C	11	149	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 5 (N) Equip C	74	Act 5 (N) Good	6																		0
Act 1 (H) Citem A	11	151	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 1 (H) Equip A	74	Act 1 (H) Good	6																		0
Act 1 (H) Citem B	11	158	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 1 (H) Equip B	74	Act 1 (H) Good	6																		0
Act 1 (H) Citem C	11	163	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 1 (H) Equip B	74	Act 1 (H) Good	6																		0
Act 2 (H) Citem A	11	166	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 2 (H) Equip A	74	Act 2 (H) Good	6																		0
Act 2 (H) Citem B	11	170	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 2 (H) Equip B	74	Act 2 (H) Good	6																		0
Act 2 (H) Citem C	11	173	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 2 (H) Equip B	74	Act 2 (H) Good	6																		0
Act 3 (H) Citem A	11	178	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 3 (H) Equip A	74	Act 3 (H) Good	6																		0
Act 3 (H) Citem B	11	180	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 3 (H) Equip B	74	Act 3 (H) Good	6																		0
Act 3 (H) Citem C	11	185	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 3 (H) Equip B	74	Act 3 (H) Good	6																		0
Act 4 (H) Citem A	11	187	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 4 (H) Equip A	74	Act 4 (H) Good	6																		0
Act 4 (H) Citem B	11	192	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 4 (H) Equip B	74	Act 4 (H) Good	6																		0
Act 5 (H) Citem A	11	194	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 5 (H) Equip A	74	Act 5 (H) Good	6																		0
Act 5 (H) Citem B	11	199	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 5 (H) Equip B	74	Act 5 (H) Good	6																		0
Act 5 (H) Citem C	11	204	1	800	800	800	1024	0	"gld,mul=1280"	120	Act 5 (H) Equip C	74	Act 5 (H) Good	6																		0
Act 1 Cpot A	12	0	2					0	Hpotion 1	2		0																				0
Act 1 Cpot B	12	12	2					0	Hpotion 1	2		0																				0
Act 1 Cpot C	12	22	2					0	Hpotion 1	2		0																				0
Act 2 Cpot A	12	29	2					0	Hpotion 2	2		0																				0
Act 2 Cpot B	12	36	2					0	Hpotion 2	2		0																				0
Act 2 Cpot C	12	43	2					0	Hpotion 2	2		0																				0
Act 3 Cpot A	12	48	2					0	Hpotion 3	2		0																				0
Act 3 Cpot B	12	53	2					0	Hpotion 3	2		0																				0
Act 3 Cpot C	12	58	2					0	Hpotion 3	2		0																				0
Act 4 Cpot A	12	62	2					0	Hpotion 3	2	Hpotion 4	4																				0
Act 4 Cpot B	12	70	2					0	Hpotion 3	2	Hpotion 4	4																				0
Act 5 Cpot A	12	77	2					0	Hpotion 4	2	Hpotion 5	4																				0
Act 5 Cpot B	12	82	2					0	Hpotion 4	2	Hpotion 5	4																				0
Act 5 Cpot C	12	86	2					0	Hpotion 4	2	Hpotion 5	4																				0
Act 1 (N) Cpot A	12	91	2					0	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																		0
Act 1 (N) Cpot B	12	96	2					0	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8						7												0
Act 1 (N) Cpot C	12	98	2					0	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8						7												0
Act 2 (N) Cpot A	12	101	2					0	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8						7												0
Act 2 (N) Cpot B	12	106	2					0	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8						7												0
Act 2 (N) Cpot C	12	108	2					0	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8						7												0
Act 3 (N) Cpot A	12	110	2					0	rvs	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 3 (N) Cpot B	12	115	2					0	rvs	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 3 (N) Cpot C	12	120	2					0	rvs	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 4 (N) Cpot A	12	122	2					0	rvs	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 4 (N) Cpot B	12	130	2					0	rvs	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 5 (N) Cpot A	12	137	2					0	rvs	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 5 (N) Cpot B	12	144	2					0	rvs	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 5 (N) Cpot C	12	149	2					0	rvs	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 1 (H) Cpot A	12	151	2					0	rvl	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 1 (H) Cpot B	12	158	2					0	rvl	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 1 (H) Cpot C	12	163	2					0	rvl	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 2 (H) Cpot A	12	166	2					0	rvl	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 2 (H) Cpot B	12	170	2					0	rvl	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 2 (H) Cpot C	12	173	2					0	rvl	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 3 (H) Cpot A	12	178	2					0	rvl	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 3 (H) Cpot B	12	180	2					0	rvl	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 3 (H) Cpot C	12	185	2					0	rvl	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 4 (H) Cpot A	12	187	2					0	rvl	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 4 (H) Cpot B	12	192	2					0	rvl	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 5 (H) Cpot A	12	194	2					0	rvl	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 5 (H) Cpot B	12	199	2					0	rvl	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 5 (H) Cpot C	12	204	2					0	rvl	2	Hpotion 4	4	Hpotion 5	8	Hpotion 6	8				7												0
Act 1 Champ A	13	0	-2					0	Act 1 Citem A	2	Act 1 Cpot A	4																				0
Act 1 Champ B	13	12	-2					0	Act 1 Citem B	2	Act 1 Cpot B	2																				0
Act 1 Champ C	13	22	-2					0	Act 1 Citem C	2	Act 1 Cpot C	2																				0
Act 2 Champ A	13	29	-2					0	Act 2 Citem A	2	Act 2 Cpot A	2																				0
Act 2 Champ B	13	36	-2					0	Act 2 Citem B	2	Act 2 Cpot B	2																				0
Act 2 Champ C	13	43	-2					0	Act 2 Citem C	2	Act 2 Cpot C	2																				0
Act 3 Champ A	13	48	-2					0	Act 3 Citem A	2	Act 3 Cpot A	2																				0
Act 3 Champ B	13	53	-2					0	Act 3 Citem B	2	Act 3 Cpot B	2																				0
Act 3 Champ C	13	58	-2					0	Act 3 Citem C	2	Act 3 Cpot C	2																				0
Act 4 Champ A	13	62	-2					0	Act 4 Citem A	2	Act 4 Cpot A	2																				0
Act 4 Champ B	13	70	-2					0	Act 4 Citem B	2	Act 4 Cpot B	2																				0
Act 5 Champ A	13	77	-2					0	Act 5 Citem A	2	Act 5 Cpot A	2																				0
Act 5 Champ B	13	82	-2					0	Act 5 Citem B	2	Act 5 Cpot B	2																				0
Act 5 Champ C	13	86	-2					0	Act 5 Citem C	2	Act 5 Cpot C	2																				0
Act 1 (N) Champ A	13	91	-2					0	Act 1 (N) Citem A	2	Act 1 (N) Cpot A	4																				0
Act 1 (N) Champ B	13	96	-2					0	Act 1 (N) Citem B	2	Act 1 (N) Cpot B	4																				0
Act 1 (N) Champ C	13	98	-2					0	Act 1 (N) Citem C	2	Act 1 (N) Cpot C	4																				0
Act 2 (N) Champ A	13	101	-2					0	Act 2 (N) Citem A	2	Act 2 (N) Cpot A	4																				0
Act 2 (N) Champ B	13	106	-2					0	Act 2 (N) Citem B	2	Act 2 (N) Cpot B	4																				0
Act 2 (N) Champ C	13	108	-2					0	Act 2 (N) Citem C	2	Act 2 (N) Cpot C	4																				0
Act 3 (N) Champ A	13	110	-2					0	Act 3 (N) Citem A	2	Act 3 (N) Cpot A	4																				0
Act 3 (N) Champ B	13	115	-2					0	Act 3 (N) Citem B	2	Act 3 (N) Cpot B	4																				0
Act 3 (N) Champ C	13	120	-2					0	Act 3 (N) Citem C	2	Act 3 (N) Cpot C	4																				0
Act 4 (N) Champ A	13	122	-2					0	Act 4 (N) Citem A	2	Act 4 (N) Cpot A	4																				0
Act 4 (N) Champ B	13	130	-2					0	Act 4 (N) Citem B	2	Act 4 (N) Cpot B	4																				0
Act 4 (N) Champ C	13	134	-2					0	Act 4 (N) Citem B	2	Act 4 (N) Cpot B	4																				
Act 5 (N) Champ A	13	137	-2					0	Act 5 (N) Citem A	2	Act 5 (N) Cpot A	4																				0
Act 5 (N) Champ B	13	144	-2					0	Act 5 (N) Citem B	2	Act 5 (N) Cpot B	4																				0
Act 5 (N) Champ C	13	149	-2					0	Act 5 (N) Citem C	2	Act 5 (N) Cpot C	4																				
Act 1 (H) Champ A	13	151	-2					0	Act 1 (H) Citem A	2	Act 1 (H) Cpot A	6																				0
Act 1 (H) Champ B	13	158	-2					0	Act 1 (H) Citem B	2	Act 1 (H) Cpot B	6																				0
Act 1 (H) Champ C	13	163	-2					0	Act 1 (H) Citem C	2	Act 1 (H) Cpot C	6																				0
Act 2 (H) Champ A	13	166	-2					0	Act 2 (H) Citem A	2	Act 2 (H) Cpot A	6																				0
Act 2 (H) Champ B	13	170	-2					0	Act 2 (H) Citem B	2	Act 2 (H) Cpot B	6																				0
Act 2 (H) Champ C	13	173	-2					0	Act 2 (H) Citem C	2	Act 2 (H) Cpot C	6																				0
Act 3 (H) Champ A	13	178	-2					0	Act 3 (H) Citem A	2	Act 3 (H) Cpot A	6																				0
Act 3 (H) Champ B	13	180	-2					0	Act 3 (H) Citem B	2	Act 3 (H) Cpot B	6																				0
Act 3 (H) Champ C	13	185	-2					0	Act 3 (H) Citem C	2	Act 3 (H) Cpot C	6																				0
Act 4 (H) Champ A	13	187	-2					0	Act 4 (H) Citem A	2	Act 4 (H) Cpot A	6																				0
Act 4 (H) Champ B	13	192	-2					0	Act 4 (H) Citem B	2	Act 4 (H) Cpot B	6																				0
Act 5 (H) Champ A	13	194	-2					0	Act 5 (H) Citem A	2	Act 5 (H) Cpot A	6																				0
Act 5 (H) Champ B	13	199	-2					0	Act 5 (H) Citem B	2	Act 5 (H) Cpot B	6																				0
Act 5 (H) Champ C	13	204	-2					0	Act 5 (H) Citem C	2	Act 5 (H) Cpot C	6																				0
Act 1 Uitem A	14	0	1	1024	1024	1024	800	0	Act 1 Equip A	116	Act 1 Good	8																				0
Act 1 Uitem B	14	12	1	1024	1024	1024	800	0	Act 1 Equip B	116	Act 1 Good	8																				0
Act 1 Uitem C	14	22	1	1024	1024	1024	800	0	Act 1 Equip C	116	Act 1 Good	8																				0
Act 2 Uitem A	14	29	1	1024	1024	1024	800	0	Act 2 Equip A	116	Act 2 Good	8																				0
Act 2 Uitem B	14	36	1	1024	1024	1024	800	0	Act 2 Equip B	116	Act 2 Good	8																				0
Act 2 Uitem C	14	43	1	1024	1024	1024	800	0	Act 2 Equip C	116	Act 3 Good	8																				0
Act 3 Uitem A	14	48	1	1024	1024	1024	800	0	Act 3 Equip A	116	Act 3 Good	8																				0
Act 3 Uitem B	14	53	1	1024	1024	1024	800	0	Act 3 Equip B	116	Act 3 Good	8																				0
Act 3 Uitem C	14	58	1	1024	1024	1024	800	0	Act 3 Equip C	116	Act 3 Good	8																				0
Act 4 Uitem A	14	62	1	1024	1024	1024	800	0	Act 4 Equip A	116	Act 4 Good	8																				0
Act 4 Uitem B	14	70	1	1024	1024	1024	800	0	Act 4 Equip B	116	Act 4 Good	8																				0
Act 5 Uitem A	14	77	1	1024	1024	1024	800	0	Act 5 Equip A	116	Act 5 Good	8																				0
Act 5 Uitem B	14	82	1	1024	1024	1024	800	0	Act 5 Equip B	116	Act 5 Good	8																				0
Act 5 Uitem C	14	86	1	1024	1024	1024	800	0	Act 5 Equip C	116	Act 5 Good	8																				0
Act 1 (N) Uitem A	14	91	1	1024	1024	1024	800	0	Act 1 (N) Equip A	116	Act 1 (N) Good	8																				0
Act 1 (N) Uitem B	14	96	1	1024	1024	1024	800	0	Act 1 (N) Equip B	116	Act 1 (N) Good	8																				0
Act 1 (N) Uitem C	14	98	1	1024	1024	1024	800	0	Act 1 (N) Equip B	116	Act 1 (N) Good	8																				0
Act 2 (N) Uitem A	14	101	1	1024	1024	1024	800	0	Act 2 (N) Equip A	116	Act 2 (N) Good	8																				0
Act 2 (N) Uitem B	14	106	1	1024	1024	1024	800	0	Act 2 (N) Equip B	116	Act 2 (N) Good	8																				0
Act 2 (N) Uitem C	14	108	1	1024	1024	1024	800	0	Act 2 (N) Equip B	116	Act 2 (N) Good	8																				0
Act 3 (N) Uitem A	14	110	1	1024	1024	1024	800	0	Act 3 (N) Equip A	116	Act 3 (N) Good	8																				0
Act 3 (N) Uitem B	14	115	1	1024	1024	1024	800	0	Act 3 (N) Equip B	116	Act 3 (N) Good	8																				0
Act 3 (N) Uitem C	14	120	1	1024	1024	1024	800	0	Act 3 (N) Equip B	116	Act 3 (N) Good	8																				0
Act 4 (N) Uitem A	14	122	1	1024	1024	1024	800	0	Act 4 (N) Equip A	116	Act 4 (N) Good	8																				0
Act 4 (N) Uitem B	14	130	1	1024	1024	1024	800	0	Act 4 (N) Equip B	116	Act 4 (N) Good	8																				0
Act 5 (N) Uitem A	14	137	1	1024	1024	1024	800	0	Act 5 (N) Equip A	116	Act 5 (N) Good	8																				0
Act 5 (N) Uitem B	14	144	1	1024	1024	1024	800	0	Act 5 (N) Equip B	116	Act 5 (N) Good	8																				0
Act 5 (N) Uitem C	14	149	1	1024	1024	1024	800	0	Act 5 (N) Equip C	116	Act 5 (N) Good	8																				0
Act 1 (H) Uitem A	14	151	1	1024	1024	1024	800	0	Act 1 (H) Equip A	116	Act 1 (H) Good	8																				0
Act 1 (H) Uitem B	14	158	1	1024	1024	1024	800	0	Act 1 (H) Equip B	116	Act 1 (H) Good	8																				0
Act 1 (H) Uitem C	14	163	1	1024	1024	1024	800	0	Act 1 (H) Equip B	116	Act 1 (H) Good	8																				0
Act 2 (H) Uitem A	14	166	1	1024	1024	1024	800	0	Act 2 (H) Equip A	116	Act 2 (H) Good	8																				0
Act 2 (H) Uitem B	14	170	1	1024	1024	1024	800	0	Act 2 (H) Equip B	116	Act 2 (H) Good	8																				0
Act 2 (H) Uitem C	14	173	1	1024	1024	1024	800	0	Act 2 (H) Equip B	116	Act 2 (H) Good	8																				0
Act 3 (H) Uitem A	14	178	1	1024	1024	1024	800	0	Act 3 (H) Equip A	116	Act 3 (H) Good	8																				0
Act 3 (H) Uitem B	14	180	1	1024	1024	1024	800	0	Act 3 (H) Equip B	116	Act 3 (H) Good	8																				0
Act 3 (H) Uitem C	14	185	1	1024	1024	1024	800	0	Act 3 (H) Equip B	116	Act 3 (H) Good	8																				0
Act 4 (H) Uitem A	14	187	1	1024	1024	1024	800	0	Act 4 (H) Equip A	116	Act 4 (H) Good	8																				0
Act 4 (H) Uitem B	14	192	1	1024	1024	1024	800	0	Act 4 (H) Equip B	116	Act 4 (H) Good	8																				0
Act 5 (H) Uitem A	14	194	1	1024	1024	1024	800	0	Act 5 (H) Equip A	116	Act 5 (H) Good	8																				0
Act 5 (H) Uitem B	14	199	1	1024	1024	1024	800	0	Act 5 (H) Equip B	116	Act 5 (H) Good	8																				0
Act 5 (H) Uitem C	14	204	1	1024	1024	1024	800	0	Act 5 (H) Equip C	116	Act 5 (H) Good	8																				0
Act 1 Unique A	15	0	-3					0	Act 1 Uitem A	2	Act 1 Cpot A	4																				0
Act 1 Unique B	15	13	-3					0	Act 1 Uitem B	2	Act 1 Cpot B	4																				0
Act 1 Unique C	15	23	-3					0	Act 1 Uitem C	2	Act 1 Cpot C	4																				0
Act 2 Unique A	15	31	-3					0	Act 2 Uitem A	2	Act 2 Cpot A	4																				0
Act 2 Unique B	15	39	-3					0	Act 2 Uitem B	2	Act 2 Cpot B	4																				0
Act 2 Unique C	15	47	-3					0	Act 2 Uitem C	2	Act 2 Cpot C	4																				0
Act 3 Unique A	15	52	-3					0	Act 3 Uitem A	2	Act 3 Cpot A	4																				0
Act 3 Unique B	15	57	-3					0	Act 3 Uitem B	2	Act 3 Cpot B	4																				0
Act 3 Unique C	15	62	-3					0	Act 3 Uitem C	2	Act 3 Cpot C	4																				0
Act 4 Unique A	15	68	-3					0	Act 4 Uitem A	2	Act 4 Cpot A	4																				0
Act 4 Unique B	15	75	-3					0	Act 4 Uitem B	2	Act 4 Cpot B	4																				0
Act 5 Unique A	15	83	-3					0	Act 5 Uitem A	2	Act 5 Cpot A	4																				0
Act 5 Unique B	15	88	-3					0	Act 5 Uitem B	2	Act 5 Cpot B	4																				0
Act 5 Unique C	15	94	-3					0	Act 5 Uitem C	2	Act 5 Cpot C	4																				0
Act 1 (N) Unique A	15	99	-3					0	Act 1 (N) Uitem A	2	Act 1 (N) Cpot A	4																				0
Act 1 (N) Unique B	15	104	-3					0	Act 1 (N) Uitem B	2	Act 1 (N) Cpot B	4																				0
