description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
power orb	1			100					2	ym1	rm1						zo3				all-stats			20	20																																																																															0
price orb	1			100					2	rm1	gm1						zo4				cheap			10	10																																																																															0
exp orb	1			100					2	gm1	ym1						zo5				addxp			10	10																																																																															0
Stone1 + Jew	1			100					2	jew	st1						"useitem,crf"	255	1	255	ac%			25	25	regen			-5	-5	res-all			-10	-10																																																																					0
Stone2 + Jew	1			100					2	jew	st2						"useitem,crf"	255	1	255	allskills			1	1	regen			-5	-5	res-all			-10	-10																																																																					0
Stone3 + Jew	1			100					2	jew	st3						"useitem,crf"	255	1	255	dmg%			25	25	regen			-5	-5	res-all			-10	-10																																																																					0
Stone4 + Jew	1			100					2	jew	st4						"useitem,crf"	255	1	255	red-dmg%			10	10	regen			-5	-5	res-all			-10	-10																																																																					0
Stone5 + Jew	1			100					2	jew	st5						"useitem,crf"	255	1	255	res-all			10	10	regen			-5	-5	res-all-max			2	2	ac%			-25	-25	mana%			-10	-10																																																											0
Stone6 + Jew	1			100					2	jew	st6						"useitem,crf"	255	1	255	hp%			10	10	regen			-5	-5	mana%			10	10	swing3			-10	-10	move3			-10	-10																																																											0
Stone7 + Jew	1			100					2	jew	st7						"useitem,crf"	255	1	255	move3			10	10	regen			-5	-5	swing3			10	10	res-all			-10	-10																																																																0
Stone8 + Jew	1			100					2	jew	st8						"useitem,crf"	255	1	255	cast2			5	5	regen			-5	-5	regen-mana			15	15	res-all			-10	-10																																																																0
Stone9 + Jew	1			100					2	jew	st9						"useitem,crf"	255	1	255	abs-cold%			5	5	regen			-5	-5	abs-ltng%			5	5	abs-fire%			5	5	abs-mag%	res-all			-10	-10																																																										0
MRS + st1	1			100					2	mrs	st1						useitem	255	1	255	pierce-cold			5	5	levelreq			1	1																																																																										0
MRS + st2	1			100					2	mrs	st2						useitem	255	1	255	pierce-fire			5	5	levelreq			1	1																																																																										0
MRS + st3	1			100					2	mrs	st3						useitem	255	1	255	pierce-ltng			5	5	levelreq			1	1																																																																										0
MRS + st4	1			100					2	mrs	st4						useitem	255	1	255	pierce-pois			5	5	levelreq			1	1																																																																										0
MRS + st5	1			100					2	mrs	st5						useitem	255	1	255	dmg-elem-min		8	10	10	levelreq			1	1																																																																										0
MRS + st6	1			100					2	mrs	st6						useitem	255	1	255	dmg-elem-max		8	10	10	levelreq			1	1																																																																										0
MRS + st7	1			100					2	mrs	st7						useitem	255	1	255	hp			75	75	mana			75	75	levelreq			2	2																																																																					0
MRS + st8	0			100					2	mrs	st8						useitem	255	1	255	mag-dam-perc 		8	2	2	levelreq			1	1																																																																										0
MRS + st9	1			100					2	mrs	st9						useitem	255	1	255	dmg-max			10	10	levelreq			1	1																																																																										0
Eye1	1			100					2	"armo,mag"	eyz						useitem	255	1	255	swing1		0	5	5																																																																															0
Horn1	1			100					2	"armo,mag"	hrn						useitem	255	1	255	mana		0	5	5																																																																															0
Tail1	1			100					2	"armo,mag"	tal						useitem	255	1	255	att		0	30	30																																																																															0
Flag1	1			100					2	"armo,mag"	flg						useitem	255	1	255	addxp		0	2	2																																																																															0
Fang1	1			100					2	"armo,mag"	fng						useitem	255	1	255	dmg%		0	2	2																																																																															0
Quill1	1			100					2	"armo,mag"	qll						useitem	255	1	255	ac%		0	2	2																																																																															0
Spleen1	1			100					2	"armo,mag"	spe						useitem	255	1	255	hp		0	5	5																																																																															0
Eye2	1			100					2	"weap,mag"	eyz						useitem	255	1	255	swing1		0	5	5																																																																															0
Horn2	1			100					2	"weap,mag"	hrn						useitem	255	1	255	mana		0	5	5																																																																															0
Tail2	1			100					2	"weap,mag"	tal						useitem	255	1	255	att		0	30	30																																																																															0
Flag2	1			100					2	"weap,mag"	flg						useitem	255	1	255	addxp		0	2	2																																																																															0
Fang2	1			100					2	"weap,mag"	fng						useitem	255	1	255	dmg%		0	2	2																																																																															0
Quill2	1			100					2	"weap,mag"	qll						useitem	255	1	255	ac%		0	2	2																																																																															0
Spleen2	1			100					2	"weap,mag"	spe						useitem	255	1	255	hp		0	5	5																																																																															0
Eye3	1			100					2	"armo,rar"	eyz						useitem	255	1	255	swing1		0	5	5																																																																															0
Horn3	1			100					2	"armo,rar"	hrn						useitem	255	1	255	mana		0	5	5																																																																															0
Tail3	1			100					2	"armo,rar"	tal						useitem	255	1	255	att		0	30	30																																																																															0
Flag3	1			100					2	"armo,rar"	flg						useitem	255	1	255	addxp		0	2	2																																																																															0
Fang3	1			100					2	"armo,rar"	fng						useitem	255	1	255	dmg%		0	2	2																																																																															0
Quill3	1			100					2	"armo,rar"	qll						useitem	255	1	255	ac%		0	2	2																																																																															0
Spleen3	1			100					2	"armo,rar"	spe						useitem	255	1	255	hp		0	5	5																																																																															0
Eye4	1			100					2	"weap,rar"	eyz						useitem	255	1	255	swing1		0	5	5																																																																															0
Horn4	1			100					2	"weap,rar"	hrn						useitem	255	1	255	mana		0	5	5																																																																															0
Tail4	1			100					2	"weap,rar"	tal						useitem	255	1	255	att		0	30	30																																																																															0
Flag4	1			100					2	"weap,rar"	flg						useitem	255	1	255	addxp		0	2	2																																																																															0
Fang4	1			100					2	"weap,rar"	fng						useitem	255	1	255	dmg%		0	2	2																																																																															0
Quill4	1			100					2	"weap,rar"	qll						useitem	255	1	255	ac%		0	2	2																																																																															0
Spleen4	1			100					2	"weap,rar"	spe						useitem	255	1	255	hp		0	5	5																																																																															0
Eye5	1			100					2	"amu,rar"	eyz						useitem	255	1	255	swing1		0	5	5																																																																															0
Horn5	1			100					2	"amu,rar"	hrn						useitem	255	1	255	mana		0	5	5																																																																															0
Tail5	1			100					2	"amu,rar"	tal						useitem	255	1	255	att		0	30	30																																																																															0
Flag5	1			100					2	"amu,rar"	flg						useitem	255	1	255	addxp		0	2	2																																																																															0
Fang5	1			100					2	"amu,rar"	fng						useitem	255	1	255	dmg%		0	2	2																																																																															0
Quill5	1			100					2	"amu,rar"	qll						useitem	255	1	255	ac%		0	2	2																																																																															0
Spleen5	1			100					2	"amu,rar"	spe						useitem	255	1	255	hp		0	5	5																																																																															0
Eye6	1			100					2	"rin,rar"	eyz						useitem	255	1	255	swing1		0	5	5																																																																															0
Horn6	1			100					2	"rin,rar"	hrn						useitem	255	1	255	mana		0	5	5																																																																															0
Tail6	1			100					2	"rin,rar"	tal						useitem	255	1	255	att		0	30	30																																																																															0
Flag6	1			100					2	"rin,rar"	flg						useitem	255	1	255	addxp		0	2	2																																																																															0
Fang6	1			100					2	"rin,rar"	fng						useitem	255	1	255	dmg%		0	2	2																																																																															0
Quill6	1			100					2	"rin,rar"	qll						useitem	255	1	255	ac%		0	2	2																																																																															0
Spleen6	1			100					2	"rin,rar"	spe						useitem	255	1	255	hp		0	5	5																																																																															0
Eye7	1			100					2	"rin,mag"	eyz						useitem	255	1	255	swing1		0	5	5																																																																															0
Horn7	1			100					2	"rin,mag"	hrn						useitem	255	1	255	mana		0	5	5																																																																															0
Tail7	1			100					2	"rin,mag"	tal						useitem	255	1	255	att		0	30	30																																																																															0
Flag7	1			100					2	"rin,mag"	flg						useitem	255	1	255	addxp		0	2	2																																																																															0
Fang7	1			100					2	"rin,mag"	fng						useitem	255	1	255	dmg%		0	2	2																																																																															0
Quill7	1			100					2	"rin,mag"	qll						useitem	255	1	255	ac%		0	2	2																																																																															0
Spleen7	1			100					2	"rin,mag"	spe						useitem	255	1	255	hp		0	5	5																																																																															0
ethereal1	1			100					6	armo	gm1	"hrt,qty=2"	r33	jaw			useitem	255	1	255	ethereal			1	1																																																																															0
ethereal2	1			100					6	armo	bm1	"hrt,qty=2"	r33	jaw			useitem	255	1	255	ethereal			1	1																																																																															0
ethereal3	1			100					6	armo	ym1	"hrt,qty=2"	r33	jaw			useitem	255	1	255	ethereal			1	1																																																																															0
ethereal4	1			100					6	armo	rm1	"hrt,qty=2"	r33	jaw			useitem	255	1	255	ethereal			1	1																																																																															0
ethereal1	1			100					6	armo	gm1	"hrt,qty=2"	r66	jaw			useitem	255	1	255	ethereal			1	1																																																																															0
ethereal2	1			100					6	armo	bm1	"hrt,qty=2"	r66	jaw			useitem	255	1	255	ethereal			1	1																																																																															0
ethereal3	1			100					6	armo	ym1	"hrt,qty=2"	r66	jaw			useitem	255	1	255	ethereal			1	1																																																																															0
ethereal4	1			100					6	armo	rm1	"hrt,qty=2"	r66	jaw			useitem	255	1	255	ethereal			1	1																																																																															0
ethereal1	1			100					6	weap	gm1	"hrt,qty=2"	r33	jaw			useitem	255	1	255	ethereal			1	1																																																																															0
ethereal2	1			100					6	weap	bm1	"hrt,qty=2"	r33	jaw			useitem	255	1	255	ethereal			1	1																																																																															0
ethereal3	1			100					6	weap	ym1	"hrt,qty=2"	r33	jaw			useitem	255	1	255	ethereal			1	1																																																																															0
ethereal4	1			100					6	weap	rm1	"hrt,qty=2"	r33	jaw			useitem	255	1	255	ethereal			1	1																																																																															0
ethereal1	1			100					6	weap	gm1	"hrt,qty=2"	r66	jaw			useitem	255	1	255	ethereal			1	1																																																																															0
ethereal2	1			100					6	weap	bm1	"hrt,qty=2"	r66	jaw			useitem	255	1	255	ethereal			1	1																																																																															0
ethereal3	1			100					6	weap	ym1	"hrt,qty=2"	r66	jaw			useitem	255	1	255	ethereal			1	1																																																																															0
ethereal4	1			100					6	weap	rm1	"hrt,qty=2"	r66	jaw			useitem	255	1	255	ethereal			1	1																																																																															0
make unique1	1			100					2	"weap,any"	tp9						"usetype,uni"	255	1	255																																																																																				0
make unique2	1			100					2	"armo,any"	tp9						"usetype,uni"	255	1	255																																																																																				0
make unique3	1			100					2	rin	tp9						"usetype,uni"	255	1	255																																																																																				0
make unique4	1			100					2	amu	tp9						"usetype,uni"	255	1	255																																																																																				0
make thors power1	1			100					7	eyz	hrn	tal	flg	fng	jaw	brz	tp9	255	1	255																																																																																				0
make thors power2	1			100					7	eyz	hrn	tal	flg	qll	jaw	brz	tp9	255	1	255																																																																																				0
make thors power3	1			100					7	eyz	hrn	tal	flg	spe	jaw	brz	tp9	255	1	255																																																																																				0
make thors power4	1			100					7	eyz	hrn	tal	fng	qll	jaw	brz	tp9	255	1	255																																																																																				0
make thors power5	1			100					7	eyz	hrn	tal	fng	spe	jaw	brz	tp9	255	1	255																																																																																				0
make thors power6	1			100					7	eyz	hrn	tal	qll	spe	jaw	brz	tp9	255	1	255																																																																																				0
make thors power7	1			100					7	eyz	hrn	flg	fng	qll	jaw	brz	tp9	255	1	255																																																																																				0
make thors power8	1			100					7	eyz	hrn	flg	qll	spe	jaw	brz	tp9	255	1	255																																																																																				0
make thors power9	1			100					7	eyz	tal	flg	fng	qll	jaw	brz	tp9	255	1	255																																																																																				0
make thors power10	1			100					7	eyz	tal	flg	fng	spe	jaw	brz	tp9	255	1	255																																																																																				0
make thors power11	1			100					7	eyz	tal	flg	qll	spe	jaw	brz	tp9	255	1	255																																																																																				0
make thors power12	1			100					7	eyz	tal	fng	qll	spe	jaw	brz	tp9	255	1	255																																																																																				0
make thors power13	1			100					7	eyz	hrn	fng	qll	spe	jaw	brz	tp9	255	1	255																																																																																				0
make thors power14	1			100					7	eyz	flg	fng	qll	spe	jaw	brz	tp9	255	1	255																																																																																				0
make thors power15	1			100					7	hrn	tal	flg	fng	qll	jaw	brz	tp9	255	1	255																																																																																				0
make thors power16	1			100					7	hrn	tal	flg	fng	spe	jaw	brz	tp9	255	1	255																																																																																				0
make thors power17	1			100					7	hrn	tal	flg	qll	spe	jaw	brz	tp9	255	1	255																																																																																				0
make thors power18	1			100					7	hrn	tal	fng	qll	spe	jaw	brz	tp9	255	1	255																																																																																				0
make thors power19	1			100					7	hrn	flg	fng	qll	spe	jaw	brz	tp9	255	1	255																																																																																				0
make thors power20	1			100					7	tal	flg	fng	qll	spe	jaw	brz	tp9	255	1	255																																																																																				0
make stone1	1			100					3	"~z5,qty=2"	~z3						st1																																																																																							0
make stone2	1			100					3	"~z5,qty=2"	~z4						st2																																																																																							0
make stone3	1			100					3	"~z4,qty=2"	~z5						st3																																																																																							0
make stone4	1			100					3	~z5	~z4	~z3					st4																																																																																							0
make stone5	1			100					3	"~z2,qty=2"	~z1						st5																																																																																							0
make stone6	1			100					3	~z1	~z2	~z3					st6																																																																																							0
make stone7	1			100					3	"~z3,qty=2"	~z5						st7																																																																																							0
make stone8	1			100					3	"~z1,qty=2"	~z2						st8																																																																																							0
make stone9	1			100					3	~z2	~z3	~z4					st9																																																																																							0
make organ1	1			100					2	~z5	~z4						eyz																																																																																							0
make organ2	1			100					2	~z4	~z3						hrn																																																																																							0
make organ3	1			100					2	~z4	~z1						tal																																																																																							0
make organ4	1			100					2	~z1	~z3						flg																																																																																							0
make organ5	1			100					2	~z5	~z3						fng																																																																																							0
make organ6	1			100					2	~z5	~z2						qll																																																																																							0
make organ7	1			100					2	~z5	~z1						spe																																																																																							0
mooncreate	1			100					7	gcv	gcb	gcg	gcr	gcw	gcy	skc	~z1																																																																																							0
suncreate	1			100					7	gfv	gfb	gfg	gfr	gfw	gfy	skf	~z2																																																																																							0
lokicreate	1			100					7	gsv	gsb	gsg	gsr	gsw	gsy	sku	~z3																																																																																							0
thorcreate	1			100					7	gzv	glb	glg	glr	glw	gly	skl	~z4																																																																																							0
odincreate	1			100					7	gpv	gpb	gpg	gpr	gpw	gpy	skz	~z5																																																																																							0
horncreate	1			100					3	"eyz,qty=3"							hrn																																																																																							0
tailcreate	1			100					3	"hrn,qty=3"							tal																																																																																							0
flagcreate	1			100					3	"tal,qty=3"							flg																																																																																							0
fangcreate	1			100					3	"flg,qty=3"							fng																																																																																							0
quillcreate	1			100					3	"fng,qty=3"							qll																																																																																							0
spleencreate	1			100					3	"qll,qty=3"							spe																																																																																							0
eyecreate	1			100					3	"spe,qty=3"							eyz																																																																																							0
createblue	1			100					2	"ym1,qty=2"							bm1																																																																																							0
createred	1			100					2	"bm1,qty=2"							rm1																																																																																							0
creategreen	1			100					2	"rm1,qty=2"							gm1																																																																																							0
createyellow	1			100					2	"gm1,qty=2"							ym1																																																																																							0
damage orb	0			100					2	rm1	bm1						zo6				dmg%			50	50																																																																															0
MRS + damage orb	0			100					2	mrs	zo6						useitem				dmg%			2	2	lvlreq			2	2																																																																										0
rune 34 -> rune 35	1			100					3	"r34,qty=2"	ym1						r35																																																																																							0
rune 35 -> rune 36	1			100					3	"r35,qty=2"	rm1						r36																																																																																							0
rune 36 -> rune 37	1			100					3	"r36,qty=2"	gm1						r37																																																																																							0
rune 37 -> rune 38	1			100					3	"r37,qty=2"	bm1						r38																																																																																							0
rune 38 -> rune 39	1			100					3	"r38,qty=2"	ym1						r39																																																																																							0
rune 39 -> rune 40	1			100					3	"r39,qty=2"	rm1						r40																																																																																							0
rune 40 -> rune 41	1			100					3	"r40,qty=2"	gm1						r41																																																																																							0
rune 41 -> rune 42	1			100					3	"r41,qty=2"	bm1						r42																																																																																							0
rune 42 -> rune 43	1			100					3	"r42,qty=2"	ym1						r43																																																																																							0
rune 43 -> rune 44	1			100					3	"r43,qty=2"	rm1						r44																																																																																							0
rune 44 -> rune 45	1			100					3	"r44,qty=2"	gm1						r45																																																																																							0
rune 45 -> rune 46	1			100					4	"r45,qty=2"	bm1	rm1					r46																																																																																							0
rune 46 -> rune 47	1			100					4	"r46,qty=2"	ym1	gm1					r47																																																																																							0
rune 47 -> rune 48	1			100					4	"r47,qty=2"	rm1	ym1					r48																																																																																							0
rune 48 -> rune 49	1			100					4	"r48,qty=2"	gm1	bm1					r49																																																																																							0
rune 49 -> rune 50	1			100					4	"r49,qty=2"	bm1	ym1					r50																																																																																							0
rune 50 -> rune 51	1			100					4	"r50,qty=2"	ym1	rm1					r51																																																																																							0
rune 51 -> rune 52	1			100					4	"r51,qty=2"	rm1	gm1					r52																																																																																							0
rune 52 -> rune 53	1			100					4	"r52,qty=2"	gm1	ym1					r53																																																																																							0
rune 53 -> rune 54	1			100					4	"r53,qty=2"	"bm1,qty=2"						r54																																																																																							0
rune 54 -> rune 55	1			100					5	"r54,qty=2"	ym1	rm1	gm1				r55																																																																																							0
rune 55 -> rune 56	1			100					5	"r55,qty=2"	rm1	"gm1,qty=2"					r56																																																																																							0
rune 56 -> rune 57	1			100					5	"r56,qty=2"	gm1	ym1	bm1				r57																																																																																							0
rune 57 -> rune 58	1			100					5	"r57,qty=2"	"bm1,qty=2"	ym1					r58																																																																																							0
rune 58 -> rune 59	1			100					5	"r58,qty=2"	ym1	"rm1,qty=2"					r59																																																																																							0
rune 59 -> rune 60	1			100					5	"r59,qty=2"	rm1	"gm1,qty=2"					r60																																																																																							0
rune 60 -> rune 61	1			100					5	"r60,qty=2"	"gm1,qty=2"	ym1					r61																																																																																							0
rune 61 -> rune 62	1			100					5	"r61,qty=2"	"bm1,qty=3"						r62																																																																																							0
rune 62 -> rune 63	1			100					5	"r62,qty=2"	"ym1,qty=2"	rm1					r63																																																																																							0
rune 63 -> rune 64	1			100					5	"r63,qty=2"	"rm1,qty=2"	gm1					r64																																																																																							0
rune 64 -> rune 65	1			100					5	"r64,qty=2"	bm1	ym1	gm1				r65																																																																																							0
rune 65 -> rune 66	1			100					7	"r65,qty=2"	gm1	ym1	bm1	gm1	tp9		r66																																																																																							0
UniqueSocket01	1			100					5	"weap,uni"	"skz,qty=2"	brz	hrt				useitem	255	1	255	sock		2																																																																																	0
UniqueSocket02	1			100					6	"weap,uni"	"skz,qty=3"	brz	hrt				useitem	255	1	255	sock		3																																																																																	0
UniqueSocket03	1			100					7	"weap,uni"	"skz,qty=4"	brz	hrt				useitem	255	1	255	sock		4																																																																																	0
UniqueSocket04	1			100					8	"weap,uni"	"skz,qty=5"	brz	hrt				useitem	255	1	255	sock		5																																																																																	0
UniqueSocket05	1			100					9	"weap,uni"	"skz,qty=6"	brz	hrt				useitem	255	1	255	sock		6																																																																																	0
UniqueSocket06	1			100					5	"weap,uni"	"gpw,qty=2"	brz	hrt				useitem	255	1	255	sock		2																																																																																	0
UniqueSocket07	1			100					6	"weap,uni"	"gpw,qty=3"	brz	hrt				useitem	255	1	255	sock		3																																																																																	0
UniqueSocket08	1			100					7	"weap,uni"	"gpw,qty=4"	brz	hrt				useitem	255	1	255	sock		4																																																																																	0
UniqueSocket09	1			100					8	"weap,uni"	"gpw,qty=5"	brz	hrt				useitem	255	1	255	sock		5																																																																																	0
UniqueSocket10	1			100					9	"weap,uni"	"gpw,qty=6"	brz	hrt				useitem	255	1	255	sock		6																																																																																	0
UniqueSocket11	1			100					5	"weap,uni"	"gpg,qty=2"	brz	hrt				useitem	255	1	255	sock		2																																																																																	0
UniqueSocket12	1			100					6	"weap,uni"	"gpg,qty=3"	brz	hrt				useitem	255	1	255	sock		3																																																																																	0
UniqueSocket13	1			100					7	"weap,uni"	"gpg,qty=4"	brz	hrt				useitem	255	1	255	sock		4																																																																																	0
UniqueSocket14	1			100					8	"weap,uni"	"gpg,qty=5"	brz	hrt				useitem	255	1	255	sock		5																																																																																	0
UniqueSocket15	1			100					9	"weap,uni"	"gpg,qty=6"	brz	hrt				useitem	255	1	255	sock		6																																																																																	0
UniqueSocket16	1			100					5	"weap,uni"	"gpy,qty=2"	brz	hrt				useitem	255	1	255	sock		2																																																																																	0
UniqueSocket17	1			100					6	"weap,uni"	"gpy,qty=3"	brz	hrt				useitem	255	1	255	sock		3																																																																																	0
UniqueSocket18	1			100					7	"weap,uni"	"gpy,qty=4"	brz	hrt				useitem	255	1	255	sock		4																																																																																	0
UniqueSocket19	1			100					8	"weap,uni"	"gpy,qty=5"	brz	hrt				useitem	255	1	255	sock		5																																																																																	0
UniqueSocket20	1			100					9	"weap,uni"	"gpy,qty=6"	brz	hrt				useitem	255	1	255	sock		6																																																																																	0
UniqueSocket21	1			100					5	"weap,uni"	"gpb,qty=2"	brz	hrt				useitem	255	1	255	sock		2																																																																																	0
UniqueSocket22	1			100					6	"weap,uni"	"gpb,qty=3"	brz	hrt				useitem	255	1	255	sock		3																																																																																	0
UniqueSocket23	1			100					7	"weap,uni"	"gpb,qty=4"	brz	hrt				useitem	255	1	255	sock		4																																																																																	0
UniqueSocket24	1			100					8	"weap,uni"	"gpb,qty=5"	brz	hrt				useitem	255	1	255	sock		5																																																																																	0
UniqueSocket25	1			100					9	"weap,uni"	"gpb,qty=6"	brz	hrt				useitem	255	1	255	sock		6																																																																																	0
UniqueSocket26	1			100					5	"weap,uni"	"gpr,qty=2"	brz	hrt				useitem	255	1	255	sock		2																																																																																	0
UniqueSocket27	1			100					6	"weap,uni"	"gpr,qty=3"	brz	hrt				useitem	255	1	255	sock		3																																																																																	0
UniqueSocket28	1			100					7	"weap,uni"	"gpr,qty=4"	brz	hrt				useitem	255	1	255	sock		4																																																																																	0
UniqueSocket29	1			100					8	"weap,uni"	"gpr,qty=5"	brz	hrt				useitem	255	1	255	sock		5																																																																																	0
UniqueSocket30	1			100					9	"weap,uni"	"gpr,qty=6"	brz	hrt				useitem	255	1	255	sock		6																																																																																	0
UniqueSocket31	1			100					5	"weap,uni"	"gpv,qty=2"	brz	hrt				useitem	255	1	255	sock		2																																																																																	0
UniqueSocket32	1			100					6	"weap,uni"	"gpv,qty=3"	brz	hrt				useitem	255	1	255	sock		3																																																																																	0
UniqueSocket33	1			100					7	"weap,uni"	"gpv,qty=4"	brz	hrt				useitem	255	1	255	sock		4																																																																																	0
UniqueSocket34	1			100					8	"weap,uni"	"gpv,qty=5"	brz	hrt				useitem	255	1	255	sock		5																																																																																	0
UniqueSocket35	1			100					9	"weap,uni"	"gpv,qty=6"	brz	hrt				useitem	255	1	255	sock		6																																																																																	0
UniqueSocket36	1			100					5	"armo,uni"	"skz,qty=2"	brz	hrt				useitem	255	1	255	sock		2																																																																																	0
UniqueSocket37	1			100					6	"armo,uni"	"skz,qty=3"	brz	hrt				useitem	255	1	255	sock		3																																																																																	0
UniqueSocket38	1			100					7	"armo,uni"	"skz,qty=4"	brz	hrt				useitem	255	1	255	sock		4																																																																																	0
UniqueSocket39	1			100					8	"armo,uni"	"skz,qty=5"	brz	hrt				useitem	255	1	255	sock		5																																																																																	0
UniqueSocket40	1			100					9	"armo,uni"	"skz,qty=6"	brz	hrt				useitem	255	1	255	sock		6																																																																																	0
UniqueSocket41	1			100					5	"armo,uni"	"gpw,qty=2"	brz	hrt				useitem	255	1	255	sock		2																																																																																	0
UniqueSocket42	1			100					6	"armo,uni"	"gpw,qty=3"	brz	hrt				useitem	255	1	255	sock		3																																																																																	0
UniqueSocket43	1			100					7	"armo,uni"	"gpw,qty=4"	brz	hrt				useitem	255	1	255	sock		4																																																																																	0
UniqueSocket44	1			100					8	"armo,uni"	"gpw,qty=5"	brz	hrt				useitem	255	1	255	sock		5																																																																																	0
UniqueSocket45	1			100					9	"armo,uni"	"gpw,qty=6"	brz	hrt				useitem	255	1	255	sock		6																																																																																	0
UniqueSocket46	1			100					5	"armo,uni"	"gpg,qty=2"	brz	hrt				useitem	255	1	255	sock		2																																																																																	0
UniqueSocket47	1			100					6	"armo,uni"	"gpg,qty=3"	brz	hrt				useitem	255	1	255	sock		3																																																																																	0
UniqueSocket48	1			100					7	"armo,uni"	"gpg,qty=4"	brz	hrt				useitem	255	1	255	sock		4																																																																																	0
UniqueSocket49	1			100					8	"armo,uni"	"gpg,qty=5"	brz	hrt				useitem	255	1	255	sock		5																																																																																	0
UniqueSocket50	1			100					9	"armo,uni"	"gpg,qty=6"	brz	hrt				useitem	255	1	255	sock		6																																																																																	0
UniqueSocket51	1			100					5	"armo,uni"	"gpy,qty=2"	brz	hrt				useitem	255	1	255	sock		2																																																																																	0
UniqueSocket52	1			100					6	"armo,uni"	"gpy,qty=3"	brz	hrt				useitem	255	1	255	sock		3																																																																																	0
UniqueSocket53	1			100					7	"armo,uni"	"gpy,qty=4"	brz	hrt				useitem	255	1	255	sock		4																																																																																	0
UniqueSocket54	1			100					8	"armo,uni"	"gpy,qty=5"	brz	hrt				useitem	255	1	255	sock		5																																																																																	0
UniqueSocket55	1			100					9	"armo,uni"	"gpy,qty=6"	brz	hrt				useitem	255	1	255	sock		6																																																																																	0
UniqueSocket56	1			100					5	"armo,uni"	"gpb,qty=2"	brz	hrt				useitem	255	1	255	sock		2																																																																																	0
UniqueSocket57	1			100					6	"armo,uni"	"gpb,qty=3"	brz	hrt				useitem	255	1	255	sock		3																																																																																	0
UniqueSocket58	1			100					7	"armo,uni"	"gpb,qty=4"	brz	hrt				useitem	255	1	255	sock		4																																																																																	0
UniqueSocket59	1			100					8	"armo,uni"	"gpb,qty=5"	brz	hrt				useitem	255	1	255	sock		5																																																																																	0
UniqueSocket60	1			100					9	"armo,uni"	"gpb,qty=6"	brz	hrt				useitem	255	1	255	sock		6																																																																																	0
UniqueSocket61	1			100					5	"armo,uni"	"gpr,qty=2"	brz	hrt				useitem	255	1	255	sock		2																																																																																	0
UniqueSocket62	1			100					6	"armo,uni"	"gpr,qty=3"	brz	hrt				useitem	255	1	255	sock		3																																																																																	0
UniqueSocket63	1			100					7	"armo,uni"	"gpr,qty=4"	brz	hrt				useitem	255	1	255	sock		4																																																																																	0
UniqueSocket64	1			100					8	"armo,uni"	"gpr,qty=5"	brz	hrt				useitem	255	1	255	sock		5																																																																																	0
UniqueSocket65	1			100					9	"armo,uni"	"gpr,qty=6"	brz	hrt				useitem	255	1	255	sock		6																																																																																	0
UniqueSocket66	1			100					5	"armo,uni"	"gpv,qty=2"	brz	hrt				useitem	255	1	255	sock		2																																																																																	0
UniqueSocket67	1			100					6	"armo,uni"	"gpv,qty=3"	brz	hrt				useitem	255	1	255	sock		3																																																																																	0
UniqueSocket68	1			100					7	"armo,uni"	"gpv,qty=4"	brz	hrt				useitem	255	1	255	sock		4																																																																																	0
UniqueSocket69	1			100					8	"armo,uni"	"gpv,qty=5"	brz	hrt				useitem	255	1	255	sock		5																																																																																	0
UniqueSocket70	1			100					9	"armo,uni"	"gpv,qty=6"	brz	hrt				useitem	255	1	255	sock		6																																																																																	0
2 rune 33 + Stone of Odin -> rune 34_1	1			100					4	"r33,qty=2"	~n1	~z5					r34																																																																																							0
2 rune 33 + Stone of Odin -> rune 34_2	1			100					4	"r33,qty=2"	~n2	~z5					r34																																																																																							0
2 rune 33 + Stone of Odin -> rune 34_3	1			100					4	"r33,qty=2"	~n3	~z5					r34																																																																																							0
2 rune 33 + Stone of Odin -> rune 34_4	1			100					4	"r33,qty=2"	~n4	~z5					r34																																																																																							0
Barb Amu Unique	1			100					2	na7	tp9						"usetype,uni"	255	255	255																																																																																				0
