index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Raven Frost	100	1		1	1	106	90	rin	Ring			5	10000	cblu	cblu						nofreeze		1	1	dmg-cold	100	15	45	abs-cold%		20	20	mana		40	40	dex		15	20	att		150	250																									0
Highlord's Wrath	100	1		1	1	146	130	amu	Amulet			5	10000	bwht	bwht						res-ltng		35	35	dmg-ltng		1	30	swing2		20	20	allskills		1	1	deadly/lvl	3			light-thorns		15	15																									0
Saracen's Chance	100	1		1	1	110	94	amu	Amulet			5	10000	dpur	dpur						res-all		15	25	gethit-skill	76	10	2	str		12	12	dex		12	12	enr		12	12	vit		12	12																									0
Class Specific						0	0																																																														0
Arreat's Face	100	1		1	1	100	84	baa	Slayer Guard			5	10000								bar		2	2	skilltab	12	2	2	ac%		150	200	balance2		30	30	att%		20	20	str		20	20	dex		20	20	lifesteal		3	6	res-all		30	30													0
Homunculus	100	1		1	1	100	84	nea	Heirophant Trophy			5	10000								nec		2	2	skilltab	6	2	2	ac%		150	200	block2		30	30	block		40	40	enr		20	20	regen-mana		33	33	mana-kill		5	5	res-all		40	40													0
Titan's Revenge	100	1		1	1	100	84	ama	Ceremonial Javelin			5	10000								ama		2	2	skilltab	2	2	2	dmg%		150	200	move2		30	30	rep-quant	30			str		20	20	dex		20	20	lifesteal		5	9	dmg-norm		25	50	stack		60	60									0
Lycander's Aim	100	1		1	1	100	84	am7	Ceremonial Bow			5	10000								ama		2	2	skilltab	0	2	2	dmg%		150	200	swing2		20	20	ac%		20	20	dex		20	20	enr		20	20	manasteal		5	8	dmg-norm		25	50													0
Lycander's Flank	100	1		1	1	100	84	am9	Ceremonial Pike			5	10000								ama		2	2	skilltab	2	2	2	dmg%		150	200	swing2		30	30	ac%		20	20	str		20	20	vit		20	20	lifesteal		5	9	dmg-norm		25	50													0
The Oculus	100	1		1	1	100	84	oba	Swirling Crystal			5	10000								sor		3	3	gethit-skill	54	25	1	res-all		20	35	cast2		30	40	ac%		20	40	vit		20	25	enr		20	20	mana-kill		5	10	mag%		50	50													0
Herald of Zakarum	100	1		1	1	100	84	pa9	Aerin Shield			5	10000								pal		2	2	skilltab	9	2	2	ac%		150	200	block2		30	30	block		30	30	str		20	20	vit		20	20	att%		20	20	res-all		50	50													0
Cutthroat1	100	1		1	1	100	84	9tw	Runic Talons			5	10000								ass		2	2	skilltab	20	1	1	dmg%		150	200	balance2		30	30	att%		20	20	str		20	20	dex		20	20	lifesteal		5	9	dmg-norm		25	50													0
Jalal's Mane	100	1		1	1	100	84	dra	Dream Spirit			5	10000								dru		2	2	skilltab	16	2	2	ac%		150	200	balance2		30	30	att%		20	20	str		20	20	enr		20	20	mana-kill		5	5	res-all		30	30													0
The Scalper	100	1		1	1	130	114	9ta	Francisca			5	10000								rep-quant	30			dmg%		150	200	att%		25	25	swing2		20	20	openwounds		33	33	lifesteal		4	6	mana-kill		4	4																					0
Bloodmoon	100	1		1	1	138	122	7sb	elegant blade			5	10000	cred	cred						dmg%		210	260	lifesteal		10	15	charged	BloodGolem	9	15	heal-kill		7	13	openwounds		50	50																													0
Djinnslayer	100	1		1	1	146	130	7sm	ataghan			5	10000	dpur	dpur						dmg%		190	240	dmg-fire		250	500	dmg-demon		100	150	att-demon		200	300	abs-ltng		3	7	manasteal		3	6	sock		1	2																					0
Deathbit	100	1		1	1	104	88	9tk	battle dart			5	10000								deadly		40	40	dmg%		130	180	att		200	450	lifesteal		7	9	manasteal		4	6	rep-quant	25																											0
Warshrike	100	1		1	1	166	150	7bk	winged knife			5	10000	bwht	bwht						dmg%		200	250	pierce		50	50	swing2		30	30	deadly		50	50	rep-quant	30			hit-skill	Nova	25	9																									0
Gutsiphon	100	1		1	1	158	142	6rx	demon crossbow			5	10000	lgrn	lgrn						dmg%		160	220	pierce		33	33	lifesteal		12	18	slow		25	25	openwounds		33	33																													0
Razoredge	100	1		1	1	150	134	7ha	tomahawk			5	10000	lblu							dmg%		175	225	swing2		40	40	reduce-ac		33	33	deadly		50	50	openwounds		50	50																													0
Demonlimb	100	1		1	1	142	126	7sp	tyrant club			5	10000	dgrn	dgrn						dmg%		180	230	dmg-fire		222	333	lifesteal		7	13	charged	Enchant	20	23	rep-dur	5			dmg-demon		123	123	res-fire		15	20																					0
Steelshade	100	1		1	1	140	124	ulm	armet			5	10000	blac	blac						ac%		100	130	abs-fire		5	11	manasteal		4	8	regen		10	18																																	0
Tomb Reaver	100	1		1	1	172	168	7pa	cryptic axe	1		5	10000	lyel	lyel						swing2		60	60	light		4	4	dmg%		200	280	dmg-undead		150	230	mag%		50	80	res-all		30	50	att-undead		250	350	reanimate	1	10	10	heal-kill		10	14	sock		1	3									0
Deaths's Web	100	1		1	1	148	132	7gw	unearthed wand			5	10000	bwht	bwht						allskills		2	2	pierce-pois		40	50	heal-kill		7	12	mana-kill		7	12	skilltab	7	1	2																													0
Nature's Peace	100	1		1	1	154	138	rin	ring			5	10000	dgrn	dgrn						noheal		1	1	rip		1	1	red-dmg		7	11	res-pois		20	30	charged	Oak Sage	27	5																													0
Azurewrath	100	1		1	1	174	170	7cr	phase blade	1		5	10000	lgry			invcrs				dmg-mag		250	500	dmg%		400	500	aura	Sanctuary	23	25	dmg-cold	250	250	500	swing2		30	30	all-stats		25	30	light		3	3	allskills		3	4																	0
Seraph's Hymn	100	1		1	1	146	130	amu	amulet			5	10000	bwht	bwht		invamu2				allskills		2	2	skilltab	11	1	2	dmg-demon		25	50	dmg-undead		25	50	att-demon		150	250	att-undead		150	250	light		2	2																					0
Fleshripper	100	1		1	1	152	136	7kr	fanged knife			5	10000	dred	dred						dmg%		200	300	reduce-ac		50	50	noheal		1	1	crush		25	25	openwounds		50	50	deadly		33	33	slow		20	20																					0
Horizon's Tornado	100	1		1	1	144	128	7fl	scourge			5	10000	dpur	dpur						dmg%		230	280	swing2		50	50	slow		20	20	hit-skill	Tornado	20	15	ease		-20	-20																													0
Stone Crusher	100	1		1	1	152	136	7wh	legendary mallet			5	10000	whit							dmg%		280	320	str		20	30	crush		40	40	reduce-ac		25	25	dmg-ac		-100	-100	dmg		10	30																									0
Jadetalon	100	1		1	1	148	132	7wb	wrist sword			5	10000	cgrn	cgrn						dmg%		190	240	manasteal		10	15	res-all		40	50	balance2		30	30	skilltab	19	1	2	skilltab	20	1	2																									0
Shadowdancer	100	1		1	1	158	142	uhb	myrmidon greaves			5	10000	blac	blac						ac%		70	100	move2		30	30	balance2		30	30	dex		15	25	skilltab	19	1	2	ease		-20	-20																									0
Cerebus	100	1		1	1	142	126	drb	blood spirit			5	10000	bwht	bwht						ac%		130	140	skilltab	16	2	4	lifesteal		7	10	att%		60	120	openwounds		33	33	skill	feral rage	1	2																									0
Tyrael's Might	100	1		1	1	174	168	uar	sacred armor	1		5	10000		dblu						ease		-100	-100	indestruct		1	1	ac%		120	150	rip		1	1	dmg-demon		50	100	nofreeze		1	1	move2		20	20	res-all		20	30	str		20	30													0
Souldrain	100	1		1	1	164	148	umg	vambraces			5	10000	dred	dred						ac%		90	120	manasteal		4	7	lifesteal		4	7	hit-skill	Weaken	8	3	dmg-ac		-50	-50																													0
Runemaster	100	1		1	1	160	144	72a	ettin axe			5	10000	lblu	lblu						dmg%		220	270	sock		3	5	res-cold-max		5	5	nofreeze		1	1																																	0
Deathcleaver	100	1		1	1	156	140	7wa	berserker axe			5	10000	dred							dmg%		230	280	deadly		66	66	reduce-ac		33	33	swing2		40	40	heal-kill		6	9																													0
Executioner's Justice	100	1		1	1	166	150	7gi	glorious axe			5	10000	blac	blac						dmg%		240	290	crush		25	25	reduce-ac		33	33	kill-skill	Decrepify	50	6	swing2		30	30																													0
Stoneraven	100	1		1	1	144	128	amd	matriarchal spear			5	10000	dgry							dmg%		230	280	dmg-mag		101	187	res-all		30	50	ac		400	600	skilltab	2	1	3																													0
Leviathan	100	1		1	1	146	130	uld	kraken shell			5	10000	cgrn	cgrn						ac%		170	200	ac		100	150	red-dmg%		15	25	str		40	50	indestruct		1	1																													0
Wisp	100	1		1	1	168	152	rin	ring			5	10000	bwht	bwht						abs-ltng%		10	20	hit-skill	Lightning	10	16	mag%		10	20	charged	Oak Sage	15	2	charged	Heart of Wolverine	13	5	charged	Spirit of Barbs	11	7																									0
Gargoyle's Bite	100	1		1	1	156	140	7ts	winged harpoon			5	10000	cgrn	cgrn						dmg%		180	230	rep-quant	30			dmg-pois	250	300	300	lifesteal		9	15	charged	Plague Javelin	60	11																													0
Lacerator	100	1		1	1	152	136	7b8	winged axe			5	10000	blac	blac						dmg%		150	210	rep-quant	25			swing2		30	30	noheal		1	1	openwounds		33	33	howl		64	64	hit-skill	Amplify Damage	33	3																					0
Mang Song's Lesson	100	1		1	1	172	164	6ws	archon staff			5	10000	dgld	dgld		inv8wsu				allskills		5	5	pierce-fire		7	15	pierce-ltng		7	15	pierce-cold		7	15	regen-mana		10	10	cast2		30	30																									0
Viperfork	100	1		1	1	158	142	7br	war fork			5	10000	dgrn	dgrn						dmg%		190	240	dmg-pois	250	333	333	swing2		50	50	att		200	250	hit-skill	Poison Explosion	15	9	res-pois		30	50																									0
Ethereal Edge	100	1		1	1	164	148	7ba	silver-edged axe			5	10000	whit	whit						dmg%		150	180	swing2		25	25	abs-fire		10	12	dmg-demon		150	200	demon-heal		5	10	att		270	350	ethereal		1	1	indestruct		1	1																	0
Demonhorn's Edge	100	1		1	1	138	122	bad	destroyer helm			5	10000	dgry	dgry						ac%		120	160	swing2		10	10	lifesteal		3	6	thorns		55	77	skilltab	12	1	3	skilltab	13	1	3	skilltab	14	1	3																					0
The Reaper's Toll	100	1		1	1	166	150	7s8	thresher			5	10000				invscy				dmg%		190	240	hit-skill	Decrepify	33	1	ignore-ac		1	1	lifesteal		11	15	ease		-25	-25	deadly		33	33	dmg-cold		4	44																					0
Spiritkeeper	100	1		1	1	150	134	drd	earth spirit			5	10000								ac%		170	190	balance2		20	20	abs-ltng		9	14	res-fire		30	40	abs-cold%		15	25	res-pois-max		10	10	dru		1	2																					0
Hellrack	100	1		1	1	168	152	6hx	colossus crossbow			5	10000	cred							dmg%		180	230	dmg-elem	33	63	324	swing2		20	20	att%		100	150	sock		2	2	charged	Immolation Arrow	150	18																									0
Alma Negra	100	1		1	1	170	154	pac	sacred rondache			5	10000	blac	blac						ac%		180	210	block2		30	30	pal		1	2	block		20	20	red-mag		5	9	att%		40	75	dmg%		40	75																					0
Darkforge Spawn	100	1		1	1	144	128	nef	bloodlord skull			5	10000	cred	cred						ac%		140	180	cast2		30	30	mana%		10	10	skilltab	6	1	3	skilltab	7	1	3	skilltab	8	1	3																									0
Widowmaker	100	1		1	1	146	130	6sw	ward bow			5	10000	dred	dred						dmg%		150	200	deadly		33	33	ignore-ac		1	1	magicarrow		11	11	oskill	Guided Arrow	3	5																													0
Bloodraven's Charge	100	1		1	1	158	142	amb	matriarchal bow			5	10000	dgld	dgld						dmg%		180	230	att%		200	300	explosivearrow		13	13	skilltab	0	2	4	charged	Revive	30	5																													0
Ghostflame	100	1		1	1	140	124	7bl	legend spike			5	10000	cblu	cblu						dmg%		190	240	ignore-ac		1	1	dmg-mag		108	108	manasteal		10	15	ethereal		1	1	indestruct		1	1	light		2	2																					0
Shadowkiller	100	1		1	1	170	156	7cs	battle cestus			5	10000				invaxfu				dmg%		170	220	reduce-ac		25	25	freeze		2	2	mana-kill		10	15	hit-skill	Frost Nova	33	8	ethereal		1	1	indestruct		1	1																					0
Gimmershred	100	1		1	1	156	140	7ta	flying axe			5	10000	lgrn							dmg%		160	210	dmg-fire		218	483	dmg-cold	100	176	397	dmg-ltng		29	501	stack		60	60	swing2		30	30																									0
Griffon's Eye	100	1		1	1	168	152	ci3	diadem			5	10000								ac		100	200	cast2		25	25	allskills		1	1	extra-ltng		10	15	pierce-ltng		15	20																													0
Windhammer	100	1		1	1	152	136	7m7	ogre maul			5	10000	cblu	cblu		invmau				dmg%		180	230	crush		50	50	swing2		60	60	hit-skill	Twister	33	22																																	0
Thunderstroke	100	1		1	1	154	138	amf	matriarchal javelin			5	10000	dblu	dblu						dmg%		150	200	dmg-ltng		1	511	hit-skill	Lightning	20	14	swing2		15	15	pierce-ltng		15	15	skill	Lightning Bolt	3	3	skilltab	2	2	4																					0
Demon's Arch	100	1		1	1	152	136	7s7	balrog spear			5	10000	cred	cred						dmg%		160	210	dmg-fire		232	323	lifesteal		6	12	rep-quant	30			swing2		30	30	dmg-ltng		23	333																									0
Boneflame	100	1		1	1	160	144	nee	succubae skull			3	10000	dred	dred						ac%		120	150	move2		20	20	gethit-skill	Terror	15	3	nec		2	3	res-all		20	30																													0
Steelpillar	100	1		1	1	154	138	7p7	war pike			3	10000								dmg%		210	260	swing2		25	25	reduce-ac		20	20	ac%		50	80	indestruct		1	1	crush		25	25																									0
Nightwing's Veil	100	1		1	1	150	134	uhm	spired helm			3	10000	cblu	cblu						ac%		90	120	allskills		2	2	dex		10	20	abs-cold		5	9	half-freeze		1	1	extra-cold		8	15	ease		-50	-50																					0
Crown of Ages	100	1		1	1	172	164	urn	corona	1		3	10000	dgld	dgld						balance2		30	30	res-all		20	30	allskills		1	1	ac		100	150	indestruct		1	1	red-dmg%		10	15	ac%		50	50	sock		1	2																	0
Andariel's Visage	100	1		1	1	170	166	usk	demonhead	1		3	10000	dred	dred						ac%		100	150	res-pois		70	70	allskills		2	2	res-pois-max		10	10	swing2		20	20	str		25	30	gethit-skill	92	15	15	charged	278	20	3	lifesteal		8	10	res-fire		-30	-30									0
Darkfear	100			1	1	0	0	ulm	armet			5	10000	blac																																																							0
Dragonscale	100	1		1	1	168	160	pae	zakarum shield			3	10000	dgrn	dgrn						ac%		170	200	abs-fire%		10	20	res-fire-max		5	5	str		15	25	dmg-fire		211	371	oskill	Hydra	10	10	extra-fire		15	15																					0
Steel Carapice	100	1		1	1	148	132	uul	shadow plate			3	10000	dgry	dgry						ac%		190	220	balance2		20	20	red-dmg		9	14	res-cold		40	60	regen-mana		10	15	rep-dur	5			gethit-skill	Iron Maiden	8	6																					0
Medusa's Gaze	100	1		1	1	168	152	uow	aegis			3	10000	lred	lred						ac%		150	180	slow		20	20	gethit-skill	Lower Resist	10	7	lifesteal		5	9	death-skill	Nova	100	44	res-cold		40	80																									0
Ravenlore	100	1		1	1	164	148	dre	sky spirit			3	10000	dgld	dgld						ac%		120	150	res-all		15	25	skilltab	17	3	3	enr		20	30	pierce-fire		10	20	skill	Raven	7	7																									0
Boneshade	100	1		1	1	168	158	7bw	lich wand			3	10000	dgry	dgry						nec		2	2	cast2		25	25	skill	Teeth	4	5	skill	Bone Armor	4	5	skill	Bone Spear	2	3	skill	Bone Spirit	1	2	skill	Bone Wall	2	3																					0
Flamebellow	100	1		1	1	158	142	7gs	balrog blade			3	10000	cred	cred						dmg%		170	240	dmg-fire		233	482	fireskill		3	3	abs-fire%		20	30	hit-skill	Firestorm	12	16	str		10	20	vit		5	10	oskill	Inferno	12	18																	0
Fathom	100	1		1	1	162	146	obf	dimensional shard			3	10000	lblu							sor		3	3	extra-cold		15	30	cast2		20	20	res-fire		25	40	res-ltng		25	40																													0
Wolfhowl	100	1		1	1	170	158	bac	fury visor			3	10000	cred	cred						ac%		120	150	skilltab	14	2	3	str		8	15	dex		8	15	vit		8	15	oskill	Wearwolf	3	6	charged	Summon Fenris	18	15	oskill	Shape Shifting	3	6	oskill	Feral Rage	3	6													0
Spirit Ward	100	1		1	1	152	136	uts	ward			3	10000	dblu	dblu						ac%		130	180	abs-cold		6	11	res-all		30	40	block		20	30	block2		25	25	gethit-skill	Fade	5	8																									0
Kira's Guardian	100	1		1	1	170	154	ci2	tiara			3	10000	blac	blac						ac		50	120	res-all		50	70	nofreeze		1	1	balance2		20	20																																	0
Ormus' Robes	100	1		1	1	166	150	uui	dusk shroud			3	10000	blac	blac						ac		10	20	cast2		20	20	extra-fire		10	15	extra-cold		10	15	extra-ltng		10	15	regen-mana		10	15	skill-rand	3	36	60																					0
Gheed's Fortune	100	1		1	1	140	124	cm3	charm		1	3	10000	lgld							mag%		20	40	gold%		80	160	cheap		10	15																																					0
Stormlash	100	1		1	1	172	164	7fl	scourge	1		3	10000	dgry	dgry						dmg%		240	300	swing2		30	30	hit-skill	Static Field	15	10	hit-skill	Tornado	20	18	dmg-ltng		1	473	light-thorns		30	30	crush		33	33	abs-ltng		3	9																	0
Halaberd's Reign	100	1		1	1	170	154	bae	conqueror crown			3	10000								ac%		140	170	skilltab	13	1	1	bar		2	2	balance2		20	20	regen		15	23	skill	Battle Orders	1	2	skill	Battle Command	1	2																					0
Spike Thorn	100	1		1	1	156	140	upk	blade barrier			5	10000	dyel	dyel						ac%		120	150	thorns/lvl	11			dur		250	250	balance2		30	30	red-dmg%		15	20	sock		1	1																									0
Dracul's Grasp	100	1		1	1	168	152	uvg	vampirebone gloves			5	10000	dred	dred						ac%		90	120	lifesteal		7	10	openwounds		25	25	hit-skill	Life Tap	5	10	heal-kill		5	10	str		10	15																									0
Frostwind	100	1		1	1	156	140	7ls	cryptic sword			5	10000	cblu	cblu						dmg%		180	230	freeze		4	4	half-freeze		1	1	dmg-cold	150	237	486	swing2		25	25	abs-cold%		7	15	oskill	Arctic Blast	7	14																					0
Templar's Might	100	1		1	1	164	148	uar	sacred armor			5	10000	cgrn	cgrn						ac%		170	220	balance2		20	20	ac-miss		250	300	stam		40	50	str		10	15	vit		10	15	skilltab	10	1	2																					0
Eschuta's temper	100	1		1	1	160	144	obc	eldritch orb			5	10000	cred							sor		1	3	cast2		40	40	extra-fire		10	20	extra-ltng		10	20	enr		20	30																													0
Firelizard's Talons	100	1		1	1	150	134	7lw	feral claws			5	10000								dmg%		200	270	swing2		15	15	skilltab	20	1	3	dmg-fire		236	480	res-fire		40	70	skill	Wake of Fire Sentry	1	2	skill	Inferno Sentry	1	2																					0
Sandstorm Trek	100	1		1	1	144	128	uvb	scarabshell boots			5	10000								ac%		140	170	move2		20	20	balance2		20	20	stam/lvl	8			stamdrain		50	50	res-pois		40	70	rep-dur	5			str		10	15	vit		10	15													0
Marrowwalk	100	1		1	1	148	132	umb	boneweave boots			5	10000	dgry							ac%		170	200	move2		20	20	charged	Bone Prison	13	33	charged	Life Tap	10	12	regen-stam		10	10	regen-mana		10	10	half-freeze		1	1	str		10	20	dex		17	17	skill	Skeleton Mastery	1	2									0
Heaven's Light	100	1		1	1	138	122	7sc	mighty scepter			5	10000	cblu	cblu						dmg%		250	300	swing2		20	20	reduce-ac		33	33	light		3	3	demon-heal		15	20	crush		33	33	sock		1	3	pal		2	3																	0
Arachnid Mesh	100	1		1	1	174	160	ulc	spiderweb sash			5	10000	blac	blac						ac%		90	120	cast2		20	20	charged	Venom	11	3	allskills		1	1	slow		10	10	mana%		5	5																									0
Nosferatu's Coil	100	1		1	1	136	102	uvc	vampirefang belt			5	10000								str		15	15	mana-kill		2	2	slow		10	10	lifesteal		10	10	swing2		10	10	light		-3	-3																									0
Metalgrid	100	1		1	1	170	162	amu	amulet			5	10000								ac		300	350	res-all		25	35	att		400	450	charged	IronGolem	11	22	charged	Iron Maiden	20	12																													0
Verdugo's Hearty Cord	100	1		1	1	142	126	umc	mithril coil			5	10000	blac	blac						ac%		90	140	vit		30	40	stam		100	120	balance2		10	10	red-dmg%		10	15	regen		10	13																									0
Carrion Wind	100	1		1	1	136	120	rin	ring			3	10000								ac-miss		100	160	lifesteal		6	9	res-pois		55	55	gethit-skill	Poison Nova	10	10	charged	Plague Poppy	15	21	hit-skill	Twister	8	13	dmg-to-mana		10	10																					0
Giantskull	100	1		1	1	146	130	uh9	bone visage			3	10000	lgry	lgry		invbhm				ac		250	320	str		25	35	crush		10	10	sock		1	2	knock		1	1																													0
Ironward	100	1		1	1	136	120	7ws	caduceus			3	10000	blac	blac						dmg%		240	290	slow		25	25	att%		150	200	swing2		10	10	dmg-mag		80	240	red-dmg		4	7	dmg		40	85	skilltab	9	2	4	crush		33	33													0
Annihilus	100	1		1	1	220	140	cm1	charm		1	3	10000			flpmss	invmss	item_gem	12	item_gem	allskills		1	1	all-stats		10	20	res-all		10	20	addxp		5	10																																	0
Arioc's Needle	100	1		1	1	170	162	7sr	hyperion spear			3	10000								dmg%		180	230	dmg-pois	250	403	403	deadly		50	50	ignore-ac		1	1	allskills		2	4	swing2		30	30																									0
Cranebeak	100	1		1	1	142	126	7mp	war spike			3	10000	dgry							dmg%		240	300	dmg-ltng		1	305	swing2		40	40	reduce-ac		25	25	mag%		20	50	charged	Raven	15	8																									0
Nord's Tenderizer	100	1		1	1	152	136	7cl	truncheon			3	10000								dmg%		270	330	freeze		2	4	swing2		25	25	charged	Blizzard	12	16	att%		150	180	abs-cold%		5	15	dmg-cold	125	205	455																					0
Earthshifter	100	1		1	1	154	138	7gm	thunder maul			3	10000								dmg%		250	300	hit-skill	Eruption	25	14	crush		33	33	swing2		10	10	charged	Volcano	30	14	skilltab	17	7	7	cast2		10	10																					0
Wraithflight	100	1		1	1	168	152	7gl	ghost glaive			3	10000	dblu	dblu						dmg%		150	190	rep-quant	40			lifesteal		9	13	mana-kill		15	15	ethereal		1	1																													0
Bonehew	100	1		1	1	144	128	7o7	ogre axe			3	10000	bwht	bwht						dmg%		270	320	swing2		30	30	charged	Corpse Explosion	30	14	hit-skill	Bone Spear	50	16	noheal		1	1	sock		2	2																									0
Ondal's Wisdom	100	1		1	1	148	132	6cs	elder staff			3	10000								cast2		45	45	enr		40	50	allskills		2	4	ac		450	550	addxp		5	5	red-mag		5	8																									0
The Reedeemer	100	1		1	1	160	144	7sc	mighty scepter			3	10000								dmg%		250	300	dmg-demon		200	250	pal		2	2	ease		-60	-60	skill	Redemption	2	4	skill	Holy Bolt	2	4	light		3	3	reduce-ac		33	33	dmg		60	120													0
Headhunter's Glory	100	1		1	1	166	150	ush	troll nest			3	10000								ac		320	420	ac-miss		300	350	res-pois		30	40	sock		1	3	res-fire		20	30	heal-kill		5	7																									0
Steelrend	100	1		1	1	156	140	uhg	ogre gauntlets			3	10000								ac		170	210	str		15	20	dmg%		30	60	crush		10	10																																	0
Rainbow Facet	100	1		1	1	170	98	jew	jewel			3	10000								dmg-ltng		1	74	pierce-ltng		3	5	extra-ltng		3	5	death-skill	Chain Lightning	100	47																																	0
Rainbow Facet	100	1		1	1	170	98	jew	jewel			3	10000								dmg-cold	3	24	38	pierce-cold		3	5	extra-cold		3	5	death-skill	Blizzard	100	37																																	0
Rainbow Facet	100	1		1	1	170	98	jew	jewel			3	10000								dmg-fire		17	45	pierce-fire		3	5	extra-fire		3	5	death-skill	Meteor	100	31																																	0
Rainbow Facet	100	1		1	1	170	98	jew	jewel			3	10000								dmg-pois	50	187	187	pierce-pois		3	5	extra-pois		3	5	death-skill	Poison Nova	100	51																																	0
Rainbow Facet	100	1		1	1	170	98	jew	jewel			3	10000								dmg-ltng		1	74	pierce-ltng		3	5	extra-ltng		3	5	levelup-skill	Nova	100	41																																	0
Rainbow Facet	100	1		1	1	170	98	jew	jewel			3	10000								dmg-cold	3	24	38	pierce-cold		3	5	extra-cold		3	5	levelup-skill	Frost Nova	100	43																																	0
Rainbow Facet	100	1		1	1	170	98	jew	jewel			3	10000								dmg-fire		17	45	pierce-fire		3	5	extra-fire		3	5	levelup-skill	Blaze	100	29																																	0
Rainbow Facet	100	1		1	1	170	98	jew	jewel			3	10000								dmg-pois	50	187	187	pierce-pois		3	5	extra-pois		3	5	levelup-skill	Venom	100	23																																	0
Geitir's Strength	100	1		1	1	18	16	hax	Hand Axe			5	10000	1	0	9					att		200	300	mag%		60	70	demon-heal		5	6	dmg%		80	120																																	0
Hrutr's Life	100	1		1	1	32	28	axe	Axe			5	10000	1	0	3					stupidity		30	30	dmg-min		20	20	att%		30	30	lifesteal		5	6	dmg%		140	140	swing3		30	30																									0
Bogi's Double	100	1		1	1	52	46	2ax	Double Axe			5	10000	1	1	11					rep-dur	10			nofreeze		1	1	swing2		20	20	ac		40	40	fire-min		16	16	fire-max		24	24	dmg%		60	100																					0
Yngwie's Extreme Power	100	1		1	1	72	64	mpi	Military Pick			5	10000	1	0	10					swing3		30	30	regen		16	16	dmg-mag		40	40	allskills		2	3	move3		30	30	dmg%		200	200	slow		30	30	dmg-cold	50	30	40	sock	2			charged	32	100	100									0
Bodmoor's Poison	100	1		1	1	94	82	wax	War Axe			5	10000	1	1	11					pois-min		256	256	pois-max		256	256	pois-len		150	150	att		500	500	res-pois		70	70	dmg%		200	250	swing2		30	30																					0
Balki's Large Axe	100	1		1	1	28	24	lax	Large Axe			5	10000	1	1	17					allskills		2	4	sock	4			nofreeze		1	1	move3		30	30	swing3		30	30	dmg%/lvl	7			dmg/lvl	7			dmg-mag		10	20	dmg%		100	100													0
Horor's Gore	100	1		1	1	50	42	bax	Broad Axe			5	10000	1	1	18					swing3		30	30	str		70	70	dmg-to-mana		30	40	dmg%		140	150	dmg-max		23	23																													0
Thor's Lightning	100	1		1	1	68	58	btx	Battle Axe			5	10000	1	0	19					dmg%		140	140	res-all		10	20	red-dmg%		40	40	swing2		20	20	dmg-ltng		80	100																													0
Hamall's Eskimo Slice	100	1		1	1	88	76	gax	Great Axe			5	10000	1	0	0					dmg-mag		10	300	dmg%		60	180	allskills		5	5	swing3		30	30	dmg/lvl	5			dmg-cold	200	30	40																									0
Geirr's Crusher	100	1		1	1	102	88	gix	Giant Axe			5	10000	1	1	3					str		20	30	dmg-min		16	16	dmg-max		30	30	crush		60	60	ease		40	40	dmg%		160	240	freeze		50	90																					0
Loki's Spellcaster	100	1		1	1	18	16	wnd	Wand			5	10000	1	0	9					nec		2	2	mana-kill		5	5	dur%		80	80	nofreeze		1	1	enr		10	10	regen-mana		5	5																									0
Freyja's Baton	100	1		1	1	50	42	ywn	Yew Wand			5	10000	1	1	5					abs-cold		20	30	abs-fire%		30	30	res-ltng		40	40	mana		13	13	cast2		30	30	skill	74	10	10	skill	80	6	6	skill	69	7	7	skill	76	15	15													0
Ansgar's Rod	100	1		1	1	70	60	bwn	Bone Wand			5	10000	1	0	12					abs-pois%		7	7	abs-ltng%		7	7	abs-fire%		7	7	abs-cold%		7	7	cold-len		75	75	mana-kill		2	2	nec		3	3	mana		25	50																	0
Aegir's Skull Stick	100	1		1	1	98	84	gwn	Grim Wand			5	10000	1	1	4					nec		3	3	mana		40	40	cast2		20	20	howl		64	64	skill	80	3	3	skill	79	2	7																									0
Svidi's Steel Coated Bat	100	1		1	1	10	10	clb	Club			5	10000	1	0	11					balance3		30	30	dmg-cold	50	1	2	noheal		1	1	fire-min		12	12	fire-max		16	16	dmg%		80	100																									0
Hring's Striker	100	1		1	1	18	16	scp	Scepter			5	10000	1	1	4					crush		25	25	res-fire		20	20	stam		40	50	mana%		10	30	dmg%/lvl	2			dmg%		70	80																									0
Leif's Scepter	100	1		1	1	60	52	gsc	Grand Scepter			5	10000	1	1	15					pal		4	4	dmg-norm		5	20	red-mag		10	10	lifesteal		8	8	dmg%		80	90	dmg-undead		400	420	skill	111	5	8	skill	103	9	9																	0
Runolf's Stick	100	1		1	1	80	70	wsp	War Scepter			5	10000	1	1	9					dmg-ltng		8	12	dmg-cold	75	3	5	regen		10	10	dmg%		80	120	skill	110	3	5	skill	118	16	16	skill	122	10	10	allskills		3	3																	0
